R	Gamma	E
4.90	110	-14.368589
4.90	120	-15.410467
4.90	130	-16.590268
4.90	140	-17.636343
4.90	150	-18.366176
4.90	160	-18.778381
4.90	170	-18.989175
4.90	180	-19.059117
5.00	0	-24.032942
5.00	10	-23.776049
5.00	20	-23.015984
5.00	30	-21.811914
5.00	40	-20.269161
5.00	50	-18.544827
5.00	60	-16.834506
5.00	70	-15.345399
5.00	80	-14.262955
5.00	90	-13.711561
5.00	100	-13.722366
5.00	110	-14.231522
5.00	120	-15.099408
5.00	130	-16.127808
5.00	140	-17.093114
5.00	150	-17.827001
5.00	160	-18.297467
5.00	170	-18.567
5.00	180	-18.659272
5.10	0	-22.689746
5.10	10	-22.459882
5.10	20	-21.781969
5.10	30	-20.715487
5.10	40	-19.359493
5.10	50	-17.854096
5.10	60	-16.368082
5.10	70	-15.076179
5.10	80	-14.131058
5.10	90	-13.631919
5.10	100	-13.602439
5.10	110	-13.995691
5.10	120	-14.711372
5.10	130	-15.601409
5.10	140	-16.484686
5.10	150	-17.206117
5.10	160	-17.708583
5.10	170	-18.012913
5.10	180	-18.118104
5.20	0	-21.36979
5.20	10	-21.165496
5.20	20	-20.564093
5.20	30	-19.623181
5.20	40	-18.434667
5.20	50	-17.123583
5.20	60	-15.835909
5.20	70	-14.718848
5.20	80	-13.897205
5.20	90	-13.448501
5.20	100	-13.389322
5.20	110	-13.685478
5.20	120	-14.268261
5.20	130	-15.031795
5.20	140	-15.832738
5.20	150	-16.529749
5.20	160	-17.046377
5.20	170	-17.370278
5.20	180	-17.4826
5.30	0	-20.088038
5.30	10	-19.907599
5.30	20	-19.37684
5.30	30	-18.549984
5.30	40	-17.511391
5.30	50	-16.372493
5.30	60	-15.259795
5.30	70	-14.297184
5.30	80	-13.585882
5.30	90	-13.184932
5.30	100	-13.104419
5.30	110	-13.319685
5.30	120	-13.786969
5.30	130	-14.435318
5.30	140	-15.15466
5.30	150	-15.817727
5.30	160	-16.336171
5.30	170	-16.669538
5.30	180	-16.785403
5.40	0	-18.855126
5.40	10	-18.696598
5.40	20	-18.230279
5.40	30	-17.506277
5.40	40	-16.60131
5.40	50	-15.614587
5.40	60	-14.655835
5.40	70	-13.829196
5.40	80	-13.216016
5.40	90	-12.859698
5.40	100	-12.764529
5.40	110	-12.912913
5.40	120	-13.280536
5.40	130	-13.824796
5.40	140	-14.463992
5.40	150	-15.087499
5.40	160	-15.596919
5.40	170	-15.933092
5.40	180	-16.050117
5.50	0	-17.678108
5.50	10	-17.539411
5.50	20	-17.131143
5.50	30	-16.499097
5.50	40	-15.71263
5.50	50	-14.859922
5.50	60	-14.036212
5.50	70	-13.328898
5.50	80	-12.802618
5.50	90	-12.487605
5.50	100	-12.383109
5.50	110	-12.476691
5.50	120	-12.759024
5.50	130	-13.210141
5.50	140	-13.772943
5.50	150	-14.351982
5.50	160	-14.845335
5.50	170	-15.17773
5.50	180	-15.294171
5.60	0	-16.561196
5.60	10	-16.440218
5.60	20	-16.083646
5.60	30	-15.533169
5.60	40	-14.8512
5.60	50	-14.116091
5.60	60	-13.410508
5.60	70	-12.807601
5.60	80	-12.35793
5.60	90	-12.080807
5.60	100	-11.971188
5.60	110	-12.020314
5.60	120	-12.230297
5.60	130	-12.5984
5.60	140	-13.08975
5.60	150	-13.621935
5.60	160	-14.093555
5.60	170	-14.418327
5.60	180	-14.532765
5.70	0	-15.506432
5.70	10	-15.401103
5.70	20	-15.09019
5.70	30	-14.611546
5.70	40	-14.021324
5.70	50	-13.389057
5.70	60	-12.786472
5.70	70	-12.274655
5.70	80	-11.892195
5.70	90	-11.649516
5.70	100	-11.537985
5.70	110	-11.551455
5.70	120	-11.700565
5.70	130	-11.996291
5.70	140	-12.420965
5.70	150	-12.905644
5.70	160	-13.351582
5.70	170	-13.66531
5.70	180	-13.776611
5.80	0	-14.514289
5.80	10	-14.422695
