      R        PHI    THETA2   THETA1       E_CP
    2.9000   0.0000   0.0000   0.0000   -76.965086390962
    2.9000   0.0000   0.0000   30.0000   -76.965384508771
    2.9000   0.0000   0.0000   60.0000   -76.966246501447
    2.9000   0.0000   0.0000   90.0000   -76.966905778344
    2.9000   0.0000   0.0000   120.0000   -76.966246501447
    2.9000   0.0000   0.0000   150.0000   -76.965384508772
    2.9000   0.0000   0.0000   180.0000   -76.965086390962
    2.9000   0.0000   30.0000   0.0000   -76.965561638030
    2.9000   0.0000   30.0000   30.0000   -76.966282118162
    2.9000   0.0000   30.0000   60.0000   -76.966658032190
    2.9000   0.0000   30.0000   90.0000   -76.966698464372
    2.9000   0.0000   30.0000   120.0000   -76.965706688163
    2.9000   0.0000   30.0000   150.0000   -76.965194221889
    2.9000   0.0000   30.0000   180.0000   -76.965561638031
    2.9000   0.0000   60.0000   0.0000   -76.966491747668
    2.9000   0.0000   60.0000   30.0000   -76.966988101946
    2.9000   0.0000   60.0000   60.0000   -76.966573321760
    2.9000   0.0000   60.0000   90.0000   -76.966329816244
    2.9000   0.0000   60.0000   120.0000   -76.965669642249
    2.9000   0.0000   60.0000   150.0000   -76.965954571661
    2.9000   0.0000   60.0000   180.0000   -76.966491747668
    2.9000   0.0000   90.0000   0.0000   -76.966943734899
    2.9000   0.0000   90.0000   30.0000   -76.966845119717
    2.9000   0.0000   90.0000   60.0000   -76.966110205849
    2.9000   0.0000   90.0000   90.0000   -76.966177411922
    2.9000   0.0000   90.0000   120.0000   -76.966110205849
    2.9000   0.0000   90.0000   150.0000   -76.966845119718
    2.9000   0.0000   90.0000   180.0000   -76.966943734898
    2.9000   30.0000   0.0000   0.0000   -76.965086390961
    2.9000   30.0000   0.0000   30.0000   -76.965384504628
    2.9000   30.0000   0.0000   60.0000   -76.966246567818
    2.9000   30.0000   0.0000   90.0000   -76.966905865889
    2.9000   30.0000   0.0000   120.0000   -76.966246567818
    2.9000   30.0000   0.0000   150.0000   -76.965384504628
    2.9000   30.0000   0.0000   180.0000   -76.965086390962
    2.9000   30.0000   30.0000   0.0000   -76.965561638030
    2.9000   30.0000   30.0000   30.0000   -76.966218724174
    2.9000   30.0000   30.0000   60.0000   -76.966616460358
    2.9000   30.0000   30.0000   90.0000   -76.966720747281
    2.9000   30.0000   30.0000   120.0000   -76.965792417985
    2.9000   30.0000   30.0000   150.0000   -76.965278113294
    2.9000   30.0000   30.0000   180.0000   -76.965561638030
    2.9000   30.0000   60.0000   0.0000   -76.966491747670
    2.9000   30.0000   60.0000   30.0000   -76.966939665917
    2.9000   30.0000   60.0000   60.0000   -76.966571231103
    2.9000   30.0000   60.0000   90.0000   -76.966394740825
    2.9000   30.0000   60.0000   120.0000   -76.965789703383
    2.9000   30.0000   60.0000   150.0000   -76.966050095451
    2.9000   30.0000   60.0000   180.0000   -76.966491747669
    2.9000   30.0000   90.0000   0.0000   -76.966943734899
    2.9000   30.0000   90.0000   30.0000   -76.966873647813
    2.9000   30.0000   90.0000   60.0000   -76.966183859738
    2.9000   30.0000   90.0000   90.0000   -76.966251629685
    2.9000   30.0000   90.0000   120.0000   -76.966183859738
