      R       THETA       E_CP
    3.8000   50.0000   -78.706832717592
    3.8000   55.0000   -78.706832315975
    3.8000   60.0000   -78.706832048027
    3.8000   65.0000   -78.706831871347
    3.8000   70.0000   -78.706831758065
    3.8000   75.0000   -78.706831637828
    3.8000   80.0000   -78.706831460862
    3.8000   85.0000   -78.706831277263
    3.8000   90.0000   -78.706831186854
    3.9000   0.0000   -78.706850504801
    3.9000   5.0000   -78.706849915511
    3.9000   10.0000   -78.706846035084
    3.9000   15.0000   -78.706841609035
    3.9000   20.0000   -78.706838084735
    3.9000   25.0000   -78.706835702039
    3.9000   30.0000   -78.706836682344
    3.9000   35.0000   -78.706838490928
    3.9000   40.0000   -78.706836501196
    3.9000   45.0000   -78.706834625163
    3.9000   50.0000   -78.706833013637
    3.9000   55.0000   -78.706831678346
    3.9000   60.0000   -78.706830584478
    3.9000   65.0000   -78.706829702414
    3.9000   70.0000   -78.706828981563
    3.9000   75.0000   -78.706828353656
    3.9000   80.0000   -78.706827800339
    3.9000   85.0000   -78.706827398177
    3.9000   90.0000   -78.706827236249
    4.0000   0.0000   -78.706850802808
    4.0000   5.0000   -78.706849382222
    4.0000   10.0000   -78.706845714335
    4.0000   15.0000   -78.706844033782
    4.0000   20.0000   -78.706840375922
    4.0000   25.0000   -78.706837670396
    4.0000   30.0000   -78.706838785162
    4.0000   35.0000   -78.706836524554
    4.0000   40.0000   -78.706834185004
    4.0000   45.0000   -78.706831906456
    4.0000   50.0000   -78.706829830828
    4.0000   55.0000   -78.706828021872
    4.0000   60.0000   -78.706826486264
    4.0000   65.0000   -78.706825198587
    4.0000   70.0000   -78.706824112135
    4.0000   75.0000   -78.706823188729
    4.0000   80.0000   -78.706822441108
    4.0000   85.0000   -78.706821946315
    4.0000   90.0000   -78.706821755713
    4.1000   0.0000   -78.706848407315
    4.1000   5.0000   -78.706847136518
    4.1000   10.0000   -78.706843833411
    4.1000   15.0000   -78.706839814212
    4.1000   20.0000   -78.706839377806
    4.1000   25.0000   -78.706836530558
    4.1000   30.0000   -78.706834107966
    4.1000   35.0000   -78.706831745592
    4.1000   40.0000   -78.706829329117
    4.1000   45.0000   -78.706826939191
    4.1000   50.0000   -78.706824704326
    4.1000   55.0000   -78.706822707657
    4.1000   60.0000   -78.706820970614
    4.1000   65.0000   -78.706819475105
    4.1000   70.0000   -78.706818195633
    4.1000   75.0000   -78.706817130260
    4.1000   80.0000   -78.706816322985
    4.1000   85.0000   -78.706815796623
    4.1000   90.0000   -78.706815606474
    4.2000   0.0000   -78.706844106925
    4.2000   5.0000   -78.706842977209
    4.2000   10.0000   -78.706840049587
    4.2000   15.0000   -78.706836407927
    4.2000   20.0000   -78.706833028891
    4.2000   25.0000   -78.706830239668
    4.2000   30.0000   -78.706827836671
    4.2000   35.0000   -78.706825525639
    4.2000   40.0000   -78.706823181882
    4.2000   45.0000   -78.706820849882
    4.2000   50.0000   -78.706818636886
    4.2000   55.0000   -78.706816623610
    4.2000   60.0000   -78.706814835673
    4.2000   65.0000   -78.706813267306
    4.2000   70.0000   -78.706811919484
    4.2000   75.0000   -78.706810831786
    4.2000   80.0000   -78.706810013914
    4.2000   85.0000   -78.706809506887
    4.2000   90.0000   -78.706809331290
    4.3000   0.0000   -78.706835576297
    4.3000   5.0000   -78.706834602676
    4.3000   10.0000   -78.706832066360
    4.3000   15.0000   -78.706826967340
    4.3000   20.0000   -78.706825798263
    4.3000   25.0000   -78.706823187765
    4.3000   30.0000   -78.706820908214
    4.3000   35.0000   -78.706818731888
    4.3000   40.0000   -78.706816542818
    4.3000   45.0000   -78.706814361847
    4.3000   50.0000   -78.706812271620
    4.3000   55.0000   -78.706810340358
    4.3000   60.0000   -78.706808595623
    4.3000   65.0000   -78.706807046778
    4.3000   70.0000   -78.706805731253
    4.3000   75.0000   -78.706804661132
    4.3000   80.0000   -78.706803885195
    4.3000   85.0000   -78.706803416472
    4.3000   90.0000   -78.706803259256
    4.4000   0.0000   -78.706826729920
    4.4000   5.0000   -78.706825915892
    4.4000   10.0000   -78.706823782274
    4.4000   15.0000   -78.706821042318
    4.4000   20.0000   -78.706818351993
    4.4000   25.0000   -78.706815990103
    4.4000   30.0000   -78.706813895812
    4.4000   35.0000   -78.706811902364
    4.4000   40.0000   -78.706808563335
    4.4000   45.0000   -78.706807926564
    4.4000   50.0000   -78.706806008864
    4.4000   55.0000   -78.706804212926
    4.4000   60.0000   -78.706802569160
    4.4000   65.0000   -78.706801115209
    4.4000   70.0000   -78.706799858094
    4.4000   75.0000   -78.706798857119
    4.4000   80.0000   -78.706798141961
    4.4000   85.0000   -78.706797717649
    4.4000   90.0000   -78.706797577987
    4.5000   0.0000   -78.706818065340
    4.5000   5.0000   -78.706817405396
    4.5000   10.0000   -78.706815662740
    4.5000   15.0000   -78.706813386184
    4.5000   20.0000   -78.706811090896
    4.5000   25.0000   -78.706809016847
    4.5000   30.0000   -78.706805792496
    4.5000   35.0000   -78.706805361127
    4.5000   40.0000   -78.706803584705
    4.5000   45.0000   -78.706801812102
    4.5000   50.0000   -78.706800085556
    4.5000   55.0000   -78.706798450544
    4.5000   60.0000   -78.706796955493
    4.5000   65.0000   -78.706795602403
    4.5000   70.0000   -78.706794447946
    4.5000   75.0000   -78.706793534718
