R,theta,E_cm
9.5,40.0,-0.10004882616648303
10.0,40.0,-0.0728916948045837
10.5,40.0,-0.053979346632939386
11.0,40.0,-0.04056417972033145
11.5,40.0,-0.03088973567000352
12.0,40.0,-0.023807290528292953
12.5,40.0,-0.018551750876373348
13.0,40.0,-0.014602085186069615
13.5,40.0,-0.011600331651268904
14.0,40.0,-0.009294971038625165
14.5,40.0,-0.0075069086044260306
15.0,40.0,-0.0061077601590676526
16.0,40.0,-0.0041241475482588896
17.0,40.0,-0.002851633577217143
18.0,40.0,-0.002013679019665773
19.0,40.0,-0.0014476539215559116
20.0,40.0,-0.001057648309986945
21.0,40.0,-0.0007841812219596989
22.0,40.0,-0.0005879729527910627
23.0,40.0,-0.00044641131739666664
24.0,40.0,-0.0003419399033847981
25.0,40.0,-0.0002642475543569844
50.0,40.0,9.8776262292688e-06
100.0,40.0,0.0
2.5,45.0,1487.4884249517625
2.6,45.0,1052.8108988771298
2.7,45.0,728.5526273034131
2.8,45.0,494.018950333847
2.9,45.0,327.19600841253657
3.0,45.0,209.26385310933654
3.1,45.0,128.61211298775194
3.2,45.0,74.29622385213158
3.3,45.0,38.25847029368006
3.4,45.0,14.988864029470276
3.5,45.0,-1.1741124534748872
3.6,45.0,-9.540193009225446
3.7,45.0,-13.71772447382179
3.8,45.0,-15.884860426351155
3.9,45.0,-16.59846023889688
4.0,45.0,-16.221406116570485
4.1,45.0,-15.319127914321676
4.2,45.0,-14.146514474058245
4.3,45.0,-12.866815189586726
4.4,45.0,-11.581282488461271
4.5,45.0,-10.349650998732791
4.6,45.0,-9.204411529769994
4.7,45.0,-8.164545560652435
4.8,45.0,-7.22573097960956
4.9,45.0,-6.389387788199756
5.0,45.0,-5.649173823674989
5.1,45.0,-4.997012422101914
5.2,45.0,-4.424207560881499
5.3,45.0,-3.922022830492688
5.4,45.0,-3.4820885692240426
5.5,45.0,-3.096664123974728
5.6,45.0,-2.75876800599186
5.7,45.0,-2.462236273972933
5.8,45.0,-2.201673358021375
5.9,45.0,-1.9723664826624996
6.0,45.0,-1.7702463715442107
6.2,45.0,-1.4339313505641174
6.4,45.0,-1.1698849354921108
6.6,45.0,-0.9610513134061041
6.8,45.0,-0.7946724243731184
7.0,45.0,-0.6611561295776112
7.2,45.0,-0.5532621820152036
7.4,45.0,-0.46549274233430044
7.6,45.0,-0.3936417944009489
7.8,45.0,-0.3344736312161602
8.0,45.0,-0.28547811310024457
8.2,45.0,-0.24469489772003655
8.4,45.0,-0.21058063950562528
8.6,45.0,-0.18191286447183017
8.8,45.0,-0.15771600498105953
9.0,45.0,-0.13720785720795278
9.5,45.0,-0.09821994328009297
10.0,45.0,-0.07159964702455113
10.5,45.0,-0.05304767782363214
11.0,45.0,-0.03988095488719878
11.5,45.0,-0.030380774370280365
12.0,45.0,-0.023422771100663767
12.5,45.0,-0.018257436913159352
13.0,45.0,-0.014374491204003874
13.5,45.0,-0.011422777655064352
14.0,45.0,-0.00915538368090779
14.5,45.0,-0.007396074589369733
