R	phi	theta2	theta1	E
2.70	60	60	60	-152.363622200391
2.70	60	60	90	-152.259356960043
2.70	60	60	120	-152.362383790174
2.70	60	60	150	-152.321584371787
2.70	60	60	180	-151.993018864029
2.70	60	90	0	-152.219641483941
2.70	60	90	30	-152.335263653961
2.70	60	90	60	-152.363733068897
2.70	60	90	90	-152.259728756949
2.70	60	90	120	-152.363733071553
2.70	60	90	150	-152.335263653249
2.70	60	90	180	-152.219641482684
2.70	90	0	0	-149.883973833826
2.70	90	0	30	-152.306537064745
2.70	90	0	60	-152.360668860171
2.70	90	0	90	-152.257990961692
2.70	90	0	120	-152.360668859868
2.70	90	0	150	-152.306537064338
2.70	90	0	180	-149.883973833834
2.70	90	30	0	-151.042120159468
2.70	90	30	30	-152.314937022382
2.70	90	30	60	-152.36160500791
2.70	90	30	90	-152.258429431128
2.70	90	30	120	-152.36160500831
2.70	90	30	150	-152.314937022789
2.70	90	30	180	-151.042120159159
2.70	90	60	0	-151.993018863307
2.70	90	60	30	-152.329121525437
2.70	90	60	60	-152.363305158037
2.70	90	60	90	-152.25920348555
2.70	90	60	120	-152.363305157834
2.70	90	60	150	-152.329121524954
2.70	90	60	180	-151.993018864028
2.70	90	90	0	-152.219641483941
2.70	90	90	30	-152.335058126506
2.70	90	90	60	-152.364078673797
2.70	90	90	90	-152.259537095244
2.70	90	90	120	-152.364078673438
2.70	90	90	150	-152.33505812694
2.70	90	90	180	-152.219641482685
2.80	0	0	0	-150.973809094255
2.80	0	0	30	-152.315129941582
2.80	0	0	60	-152.363116568186
2.80	0	0	90	-152.259330951313
2.80	0	0	120	-152.363116568581
2.80	0	0	150	-152.315129941098
2.80	0	0	180	-150.973809094898
2.80	0	30	0	-151.593907081289
2.80	0	30	30	-152.330920657336
2.80	0	30	60	-152.364698501091
2.80	0	30	90	-152.259827552156
2.80	0	30	120	-152.362235055125
2.80	0	30	150	-152.310864540096
2.80	0	30	180	-151.59390708182
2.80	0	60	0	-152.147080550917
2.80	0	60	30	-152.341092063506
2.80	0	60	60	-152.365526618056
2.80	0	60	90	-152.260686911211
