	0	1	2
994	4.4000000000	65.0000000000	-10.0807447572
22	4.7000000000	0.0000000000	-10.0409261340
97	4.7000000000	5.0000000000	-10.0095177777
1210	3.5000000000	80.0000000000	-9.9833535490
770	4.5000000000	50.0000000000	-9.9710893080
172	4.7000000000	10.0000000000	-9.9168121324
546	4.6000000000	35.0000000000	-9.8958253111
1069	4.4000000000	70.0000000000	-9.8065206445
247	4.7000000000	15.0000000000	-9.7672024242
845	4.5000000000	55.0000000000	-9.6144875858
1144	4.4000000000	75.0000000000	-9.5861233412
322	4.7000000000	20.0000000000	-9.5676424834
621	4.6000000000	40.0000000000	-9.5497056997
686	3.6000000000	45.0000000000	-9.5401930092
1219	4.4000000000	80.0000000000	-9.4244313374
397	4.7000000000	25.0000000000	-9.3270535156
1294	4.4000000000	85.0000000000	-9.3253765086
1135	3.5000000000	75.0000000000	-9.3152209771
1369	4.4000000000	90.0000000000	-9.2920038552
920	4.5000000000	60.0000000000	-9.2915842199
696	4.6000000000	45.0000000000	-9.2044115298
472	4.7000000000	30.0000000000	-9.0556351664
995	4.5000000000	65.0000000000	-9.0013913508
771	4.6000000000	50.0000000000	-8.8694682263
23	4.8000000000	0.0000000000	-8.8433233099
98	4.8000000000	5.0000000000	-8.8164844178
547	4.7000000000	35.0000000000	-8.7639590908
1070	4.5000000000	70.0000000000	-8.7541351849
173	4.8000000000	10.0000000000	-8.7372420019
248	4.8000000000	15.0000000000	-8.6092305734
611	3.6000000000	40.0000000000	-8.5906199996
846	4.6000000000	55.0000000000	-8.5571347563
1145	4.5000000000	75.0000000000	-8.5553473551
1060	3.5000000000	70.0000000000	-8.5018699490
622	4.7000000000	40.0000000000	-8.4623961195
323	4.8000000000	20.0000000000	-8.4382038698
1220	4.5000000000	80.0000000000	-8.4096309069
1295	4.5000000000	85.0000000000	-8.3206982496
1370	4.5000000000	90.0000000000	-8.2908227063
921	4.6000000000	60.0000000000	-8.2665806349
398	4.8000000000	25.0000000000	-8.2315834317
697	4.7000000000	45.0000000000	-8.1645455607
996	4.6000000000	65.0000000000	-8.0083560029
473	4.8000000000	30.0000000000	-7.9978179293
772	4.7000000000	50.0000000000	-7.8706481825
1071	4.6000000000	70.0000000000	-7.7882045144
24	4.9000000000	0.0000000000	-7.7808233607
