R,theta,E_cm
17.0,20.0,-0.06908929525815978
18.0,20.0,-0.06318718434539874
19.0,20.0,-0.058102614645171545
20.0,20.0,-0.05386916759152001
21.0,20.0,-0.0500650152108868
22.0,20.0,-0.04685519838408908
23.0,20.0,-0.04381920532268751
24.0,20.0,-0.041068309809751756
25.0,20.0,-0.038782922774112195
50.0,20.0,-0.012331179305650294
100.0,20.0,0.0
2.5,25.0,1825.3699310248398
2.6,25.0,1397.3255776968479
2.7,25.0,1005.652942594105
2.8,25.0,697.3190059343442
2.9,25.0,466.5901361038426
3.0,25.0,300.8003440083118
3.1,25.0,183.7308493204917
3.2,25.0,104.28570763054039
3.3,25.0,52.60199265679321
3.4,25.0,18.71292908447489
3.5,25.0,-1.818870974970613
3.6,25.0,-13.745221573928319
3.7,25.0,-19.775623925788366
3.8,25.0,-23.47133329757826
3.9,25.0,-23.701899079051138
4.0,25.0,-22.704419148727776
4.1,25.0,-20.92815170746373
4.2,25.0,-18.898132530260796
4.3,25.0,-16.8433566158644
4.4,25.0,-14.293119796322236
4.5,25.0,-12.560776253238355
4.6,25.0,-11.010261076789297
4.7,25.0,-9.643891700935079
4.8,25.0,-8.451947150426852
4.9,25.0,-7.422475722089592
5.0,25.0,-6.5304432537296915
5.1,25.0,-5.761505988001328
5.2,25.0,-5.095502760331785
5.3,25.0,-4.523575797704007
5.4,25.0,-4.0290810192186886
5.5,25.0,-3.6004492606129137
5.6,25.0,-3.22749975514471
5.7,25.0,-2.9026105808390086
5.8,25.0,-2.617960766113554
5.9,25.0,-2.367788657592563
6.0,25.0,-2.147213142219893
6.2,25.0,-1.7816329353949971
6.4,25.0,-1.4926127217473317
6.6,25.0,-1.2639342031443466
6.8,25.0,-1.0805541509419696
7.0,25.0,-0.9328148042040821
7.2,25.0,-0.8123493487951035
7.4,25.0,-0.7132218771626072
7.6,25.0,-0.6308269297028557
7.8,25.0,-0.5615899285328027
8.0,25.0,-0.5032483046507504
8.2,25.0,-0.4534725538682291
8.4,25.0,-0.41072701875825657
8.6,25.0,-0.37381423909073874
8.8,25.0,-0.3417158524982159
9.0,25.0,-0.3139327784261163
9.5,25.0,-0.2585531854872461
10.0,25.0,-0.21822055142325653
10.5,25.0,-0.18804147462500667
11.0,25.0,-0.16495032915240715
11.5,25.0,-0.1468722021885837
12.0,25.0,-0.1325225126529648
12.5,25.0,-0.1207049012949507
13.0,25.0,-0.11102804631785446
13.5,25.0,-0.10282979120719787
14.0,25.0,-0.0958373269675127
14.5,25.0,-0.08980484823070455
15.0,25.0,-0.08450826668312629
16.0,25.0,-0.0756586122202475
17.0,25.0,-0.06865934561150454
18.0,25.0,-0.062693368531299
19.0,25.0,-0.05772928902888964
20.0,25.0,-0.05344558366483128
21.0,25.0,-0.04980779146905533
22.0,25.0,-0.046485384674069936
23.0,25.0,-0.04353388944967605
24.0,25.0,-0.04090370557802586
25.0,25.0,-0.03858012734150933
50.0,25.0,-0.012323500519487851
100.0,25.0,0.0
2.5,30.0,1736.3149219112659
2.6,30.0,1300.3776990322167
2.7,30.0,929.5028571478242
2.8,30.0,640.0977728819032
2.9,30.0,426.8584724267278
3.0,30.0,273.7258048469803
3.1,30.0,165.315941983157
3.2,30.0,93.57048564139744
3.3,30.0,45.16824515966108
3.4,30.0,14.621469645476601
3.5,30.0,-4.04059926707864
3.6,30.0,-14.50976276264898
3.7,30.0,-20.008538742139784
3.8,30.0,-22.693887874403465
3.9,30.0,-23.24724465020645
4.0,30.0,-22.118214481286
4.1,30.0,-20.28571852015765
4.2,30.0,-18.288811697353488
4.3,30.0,-15.65317027658714
4.4,30.0,-13.81996848467842
4.5,30.0,-12.143572758471585
4.6,30.0,-10.645234163622579
4.7,30.0,-9.325579740702173
4.8,30.0,-8.174793708587035
4.9,30.0,-7.180993928540226
5.0,30.0,-6.31971007710187
5.1,30.0,-5.574192070567908
5.2,30.0,-4.934393895224861
5.3,30.0,-4.382119787724792
5.4,30.0,-3.9047626876283337
5.5,30.0,-3.4907152363527687
5.6,30.0,-3.1307849662336515
5.7,30.0,-2.8170435679853227
5.8,30.0,-2.542083554882521
5.9,30.0,-2.3002677247783225
6.0,30.0,-2.087640486030471
6.2,30.0,-1.733572379670106
6.4,30.0,-1.4539739898599278
6.6,30.0,-1.232083165786348
6.8,30.0,-1.0542823786343247
7.0,30.0,-0.9104086363988246
7.2,30.0,-0.7930500671501396
7.4,30.0,-0.6963297920551408
7.6,30.0,-0.615804111284879
7.8,30.0,-0.5483286118085867
8.0,30.0,-0.4912709140334691
8.2,30.0,-0.4425341572879707
8.4,30.0,-0.40079271547693907
8.6,30.0,-0.36484408819219794
8.8,30.0,-0.33372719518921995
9.0,30.0,-0.3065595281085324
9.5,30.0,-0.2528295049877943
10.0,30.0,-0.21356549472059327
10.5,30.0,-0.18431128124367077
11.0,30.0,-0.16186144229144062
11.5,30.0,-0.14431115234377218
12.0,30.0,-0.13028540653113296
12.5,30.0,-0.11880907698394466
13.0,30.0,-0.10934621125079858
13.5,30.0,-0.10135799059089394
14.0,30.0,-0.09462319297997568
14.5,30.0,-0.08869474588916602
15.0,30.0,-0.08352567835193113
16.0,30.0,-0.07479892813256057
17.0,30.0,-0.06786967508668297
18.0,30.0,-0.06214402030955413
19.0,30.0,-0.057269488179000946
20.0,30.0,-0.05307028065195027
21.0,30.0,-0.0494041780004487
22.0,30.0,-0.04609186715623821
23.0,30.0,-0.04328522403003376
24.0,30.0,-0.04067764610562378
25.0,30.0,-0.0383481419171541
50.0,30.0,-0.012116753412608858
100.0,30.0,0.0
2.5,35.0,1643.439473795819
2.6,35.0,1205.3241693255231
2.7,35.0,852.1173145451099
2.8,35.0,582.5918044159203
2.9,35.0,385.44189894000783
3.0,35.0,243.37909384658167
3.1,35.0,147.131565529676
3.2,35.0,80.77928253283244
3.3,35.0,37.62707997124934
3.4,35.0,10.18195833550856
3.5,35.0,-6.399562850433242
3.6,35.0,-15.407832319512526
3.7,35.0,-21.29937965839218
3.8,35.0,-22.97058239492942
3.9,35.0,-22.71477154663292
4.0,35.0,-21.378647527790086
4.1,35.0,-19.58761493473683
4.2,35.0,-17.635921204079164
4.3,35.0,-15.092786803255713
4.4,35.0,-13.322063514217234
4.5,35.0,-11.706772814282932
4.6,35.0,-10.264379400821815
4.7,35.0,-8.994392087271097
4.8,35.0,-7.890155967208955
4.9,35.0,-6.930417111808978
5.0,35.0,-6.101275979321599
5.1,35.0,-5.383390484015218
5.2,35.0,-4.767187369028567
5.3,35.0,-4.235596770695587
5.4,35.0,-3.775740138885481
5.5,35.0,-3.37718277045832
5.6,35.0,-3.030306190420513
5.7,35.0,-2.7280286086039855
5.8,35.0,-2.46312273088776
5.9,35.0,-2.230247200478869
6.0,35.0,-2.0248476956200085
6.2,35.0,-1.6828557436635292
6.4,35.0,-1.412480998262915
6.6,35.0,-1.1979937092403217
6.8,35.0,-1.0261044708592753
7.0,35.0,-0.8865574532800914
7.2,35.0,-0.772406723461605
7.4,35.0,-0.6783109246108489
7.6,35.0,-0.599837550710221
7.8,35.0,-0.534026987981152
8.0,35.0,-0.47843823388971246
8.2,35.0,-0.4309961572944826
8.4,35.0,-0.39045677924253613
8.6,35.0,-0.35545255220703526
8.8,35.0,-0.32519358421969075
9.0,35.0,-0.2989630752511722
9.5,35.0,-0.24677529983977267
10.0,35.0,-0.2087568061540837
10.5,35.0,-0.18039849056912602
11.0,35.0,-0.15871746902868653
11.5,35.0,-0.14172135227522162
12.0,35.0,-0.1280838592399421
12.5,35.0,-0.11703330934058727
13.0,35.0,-0.10780110972775632
13.5,35.0,-0.10008240760052488
14.0,35.0,-0.09344088447334911
14.5,35.0,-0.08764807306598073
15.0,35.0,-0.08261639716531846
16.0,35.0,-0.07421029708721051
17.0,35.0,-0.06738946712962089
18.0,35.0,-0.0618126161249576
19.0,35.0,-0.05690582186440267
20.0,35.0,-0.052860464525743965
21.0,35.0,-0.04922157446939565
22.0,35.0,-0.046034145265292495
23.0,35.0,-0.043193705499422634
24.0,35.0,-0.0405788854379415
25.0,35.0,-0.03824850171344508
50.0,35.0,-0.012282680067296922
100.0,35.0,0.0
2.5,40.0,1535.7536458843304
2.6,40.0,1108.4784361294057
2.7,40.0,773.6991163784361
2.8,40.0,524.3159393567987
2.9,40.0,342.4249893172807
3.0,40.0,215.7570174968006
3.1,40.0,127.42763781897766
3.2,40.0,68.52315550223639
3.3,40.0,29.93864686741003
3.4,40.0,5.75411825029068
3.5,40.0,-8.226665661948553
3.6,40.0,-16.549167556122967
3.7,40.0,-21.40106181414952
3.8,40.0,-22.583406762261664
3.9,40.0,-22.107736325323643
4.0,40.0,-20.64427949303464
4.1,40.0,-18.865540767622186
4.2,40.0,-16.334971948693354
4.3,40.0,-14.518978722034538
4.4,40.0,-12.814288764734737
4.5,40.0,-11.26272823164761
4.6,40.0,-9.878360398575197
4.7,40.0,-8.659732562061087
4.8,40.0,-7.600032013820795
4.9,40.0,-6.678472089458334
5.0,40.0,-5.879225375988752
5.1,40.0,-5.192409587513191
5.2,40.0,-4.600142156601203
5.3,40.0,-4.088992106524155
5.4,40.0,-3.646903044368463
5.5,40.0,-3.2635126883649095
5.6,40.0,-2.9298587972013497
5.7,40.0,-2.6388154635568806
5.8,40.0,-2.3836577705657347
5.9,40.0,-2.159540154645643
6.0,40.0,-1.961452232776989
6.2,40.0,-1.631418352834424
6.4,40.0,-1.3710520880389703
6.6,40.0,-1.1636641455968422
6.8,40.0,-0.996758517408274
7.0,40.0,-0.8616797861208005
7.2,40.0,-0.7509511033010086
7.4,40.0,-0.6593667540772161
7.6,40.0,-0.5830345763255196
7.8,40.0,-0.5191384859425765
8.0,40.0,-0.4650720091023933
8.2,40.0,-0.41890200982911396
8.4,40.0,-0.3795758862286778
