      R       THETA       E_CP
    4.5000   25.0000   -78.703962546995
    4.5000   30.0000   -78.703960646449
    4.5000   35.0000   -78.703958655701
    4.5000   40.0000   -78.703956632979
    4.5000   45.0000   -78.703954636251
    4.5000   50.0000   -78.703952726726
    4.5000   55.0000   -78.703950979117
    4.5000   60.0000   -78.703949417178
    4.5000   65.0000   -78.703948080344
    4.5000   70.0000   -78.703947015745
    4.5000   75.0000   -78.703946210041
    4.5000   80.0000   -78.703945652163
    4.5000   85.0000   -78.703945327735
    4.5000   90.0000   -78.703945222571
    4.6000   0.0000   -78.703960341868
    4.6000   5.0000   -78.703960086861
    4.6000   10.0000   -78.703959401316
    4.6000   15.0000   -78.703958347657
    4.6000   20.0000   -78.703957014522
    4.6000   25.0000   -78.703955482328
    4.6000   30.0000   -78.703953819516
    4.6000   35.0000   -78.703952083673
    4.6000   40.0000   -78.703950325335
    4.6000   45.0000   -78.703948593800
    4.6000   50.0000   -78.703946954541
    4.6000   55.0000   -78.703945428591
    4.6000   60.0000   -78.703944061011
    4.6000   65.0000   -78.703942912127
    4.6000   70.0000   -78.703941984681
    4.6000   75.0000   -78.703941280808
    4.6000   80.0000   -78.703940791976
    4.6000   85.0000   -78.703940505079
    4.6000   90.0000   -78.703940410590
    4.7000   0.0000   -78.703953481327
    4.7000   5.0000   -78.703953260786
    4.7000   10.0000   -78.703952670420
    4.7000   15.0000   -78.703951757296
    4.7000   20.0000   -78.703950594479
    4.7000   25.0000   -78.703949256691
    4.7000   30.0000   -78.703947806728
    4.7000   35.0000   -78.703946297185
    4.7000   40.0000   -78.703944772858
    4.7000   45.0000   -78.703943290526
    4.7000   50.0000   -78.703941863657
    4.7000   55.0000   -78.703940534895
    4.7000   60.0000   -78.703939368386
    4.7000   65.0000   -78.703938376863
    4.7000   70.0000   -78.703937574869
    4.7000   75.0000   -78.703936964607
    4.7000   80.0000   -78.703936537870
    4.7000   85.0000   -78.703936285440
    4.7000   90.0000   -78.703936201857
    4.8000   0.0000   -78.703947490647
    4.8000   5.0000   -78.703947299882
    4.8000   10.0000   -78.703946791444
    4.8000   15.0000   -78.703946000715
    4.8000   20.0000   -78.703944990715
    4.8000   25.0000   -78.703943825792
    4.8000   30.0000   -78.703942563361
    4.8000   35.0000   -78.703941265915
    4.8000   40.0000   -78.703939944507
    4.8000   45.0000   -78.703938651021
    4.8000   50.0000   -78.703937407818
    4.8000   55.0000   -78.703936277178
    4.8000   60.0000   -78.703935274727
    4.8000   65.0000   -78.703934422561
    4.8000   70.0000   -78.703933732246
    4.8000   75.0000   -78.703933204169
    4.8000   80.0000   -78.703932832196
    4.8000   85.0000   -78.703932611780
    4.8000   90.0000   -78.703932538915
    4.9000   0.0000   -78.703942295164
    4.9000   5.0000   -78.703942129598
    4.9000   10.0000   -78.703941692978
    4.9000   15.0000   -78.703941009955
    4.9000   20.0000   -78.703940134213
    4.9000   25.0000   -78.703939135175
    4.9000   30.0000   -78.703938035276
    4.9000   35.0000   -78.703936893023
    4.9000   40.0000   -78.703935745571
    4.9000   45.0000   -78.703934612585
    4.9000   50.0000   -78.703933552923
    4.9000   55.0000   -78.703932580824
    4.9000   60.0000   -78.703931720485
    4.9000   65.0000   -78.703930989264
    4.9000   70.0000   -78.703930395075
    4.9000   75.0000   -78.703929937414
    4.9000   80.0000   -78.703929614634
    4.9000   85.0000   -78.703929423485
    4.9000   90.0000   -78.703929360411
    5.0000   0.0000   -78.703937812480
    5.0000   5.0000   -78.703937682411
    5.0000   10.0000   -78.703937306332
    5.0000   15.0000   -78.703936715653
    5.0000   20.0000   -78.703935954417
    5.0000   25.0000   -78.703935070776
    5.0000   30.0000   -78.703934110978
    5.0000   35.0000   -78.703933115178
    5.0000   40.0000   -78.703932103935
    5.0000   45.0000   -78.703931133930
    5.0000   50.0000   -78.703930218552
    5.0000   55.0000   -78.703929381589
    5.0000   60.0000   -78.703928642669
    5.0000   65.0000   -78.703928014271
    5.0000   70.0000   -78.703927500739
    5.0000   75.0000   -78.703927104553
    5.0000   80.0000   -78.703926825457
    5.0000   85.0000   -78.703926660507
    5.0000   90.0000   -78.703926605915
    5.1000   0.0000   -78.703933949329
    5.1000   5.0000   -78.703933837960
    5.1000   10.0000   -78.703933513257
    5.1000   15.0000   -78.703933001110
    5.1000   20.0000   -78.703932338169
    5.1000   25.0000   -78.703931567240
    5.1000   30.0000   -78.703930714148
    5.1000   35.0000   -78.703929844251
    5.1000   40.0000   -78.703928974572
    5.1000   45.0000   -78.703928131448
    5.1000   50.0000   -78.703927338740
    5.1000   55.0000   -78.703926616444
    5.1000   60.0000   -78.703925979479
    5.1000   65.0000   -78.703925436535
    5.1000   70.0000   -78.703924991820
    5.1000   75.0000   -78.703924649466
    5.1000   80.0000   -78.703924408243
    5.1000   85.0000   -78.703924266430
    5.1000   90.0000   -78.703924218937
    5.2000   0.0000   -78.703930621841
    5.2000   5.0000   -78.703930525467
