R,theta,E3_cm
25.0,15.0,-0.0002853189919335364
50.0,15.0,0.0
100.0,15.0,0.0
2.5,20.0,2047.2904701419907
2.6,20.0,1541.6561044040761
2.7,20.0,1100.0160854401083
2.8,20.0,759.269673210662
2.9,20.0,508.8302455615896
3.0,20.0,330.5527155125574
3.1,20.0,206.28648727151196
3.2,20.0,121.89171027202592
3.3,20.0,65.68269925910118
3.4,20.0,29.411487901796466
3.5,20.0,6.456416876358652
3.6,20.0,-8.753394459590913
3.7,20.0,-16.198610386040595
3.8,20.0,-19.829445030790623
3.9,20.0,-20.450492393174425
4.0,20.0,-20.173295935161274
4.1,20.0,-19.283392152953837
4.2,20.0,-17.827177981714907
4.3,20.0,-16.203592458604486
4.4,20.0,-14.560254218719182
4.5,20.0,-12.980805045404296
4.6,20.0,-11.509491018371996
4.7,20.0,-10.167030550646379
4.8,20.0,-8.959766453711271
4.9,20.0,-7.885591770944344
5.0,20.0,-6.934586252927172
5.1,20.0,-6.102162876004439
5.2,20.0,-5.375438480278513
5.3,20.0,-4.743439334900883
5.4,20.0,-4.197320613500053
5.5,20.0,-3.722553095147599
5.6,20.0,-3.309172628477893
5.7,20.0,-2.951670404890382
5.8,20.0,-2.639643322163657
5.9,20.0,-2.365870670221252
6.0,20.0,-2.124338839804947
6.2,20.0,-1.719890990925464
6.4,20.0,-1.3991288179817247
6.6,20.0,-1.1444285117947772
6.8,20.0,-0.9421826395003544
7.0,20.0,-0.7808687863586051
7.2,20.0,-0.6511592794328892
7.4,20.0,-0.5460528809557087
7.6,20.0,-0.4603919324067995
7.8,20.0,-0.3903356309521593
8.0,20.0,-0.33274548639405155
8.2,20.0,-0.2850317017828479
8.4,20.0,-0.24517510879602072
8.6,20.0,-0.21152964952170067
8.8,20.0,-0.18291015852063539
9.0,20.0,-0.1584387372001872
9.5,20.0,-0.11153700761757762
10.0,20.0,-0.0797351338283356
10.5,20.0,-0.05816077630413062
11.0,20.0,-0.04328039905757507
11.5,20.0,-0.03276756380060448
12.0,20.0,-0.02515179233987709
12.5,20.0,-0.019577137056358537
13.0,20.0,-0.015385171666379023
13.5,20.0,-0.012202788878202284
14.0,20.0,-0.009788568528179269
14.5,20.0,-0.007901087333738843
15.0,20.0,-0.006430606021475001
16.0,20.0,-0.004323649399144642
17.0,20.0,-0.003006803069649209
18.0,20.0,-0.0021069566223303584
19.0,20.0,-0.0015143770216262454
20.0,20.0,-0.001119321875208783
21.0,20.0,-0.0008340028832752467
22.0,20.0,-0.0006145305743073948
23.0,20.0,-0.00048284344622018694
24.0,20.0,-0.00037310729173626103
25.0,20.0,-0.0002853189919335364
50.0,20.0,0.0
100.0,20.0,0.0
2.5,25.0,1934.6899769084764
2.6,25.0,1441.2694840678164
2.7,25.0,1025.9782942832662
2.8,25.0,706.944924198054
2.9,25.0,473.26795920487547
3.0,25.0,307.1507063525943
3.1,25.0,191.17805127047896
3.2,25.0,112.44095712541254
3.3,25.0,60.399615701411385
3.4,25.0,26.294794521820577
3.5,25.0,4.74124458997875
3.6,25.0,-8.222792593865627
3.7,25.0,-15.19666480491468
3.8,25.0,-18.59116916724019
3.9,25.0,-19.989485930193318
4.0,25.0,-19.682506766713452
4.1,25.0,-18.759067261386182
4.2,25.0,-17.326029612992883
4.3,25.0,-15.742344575459732
4.4,25.0,-14.145183798428246
4.5,25.0,-12.612833879150253
4.6,25.0,-11.187016947071266
4.7,25.0,-9.88709066070083
4.8,25.0,-8.718761362450548
4.9,25.0,-7.679395356542512
5.0,25.0,-6.758809022421044
5.1,25.0,-5.952920127731727
5.2,25.0,-5.248779672131808
5.3,25.0,-4.637718405849395
5.4,25.0,-4.105185166339228
5.5,25.0,-3.6413035874165596
5.6,25.0,-3.2403453850529456
5.7,25.0,-2.891402671963921
5.8,25.0,-2.5864865662781
5.9,25.0,-2.3187055726203125
6.0,25.0,-2.0823533423411082
6.2,25.0,-1.6866405836786393
6.4,25.0,-1.3731210749038913
6.6,25.0,-1.124324635582836
6.8,25.0,-0.9265999402607666
7.0,25.0,-0.7685562613259189
7.2,25.0,-0.6411951311861824
7.4,25.0,-0.537822582039596
7.6,25.0,-0.4535004276748634
7.8,25.0,-0.3844756566767072
8.0,25.0,-0.32769757026611557
8.2,25.0,-0.28068610452902204
8.4,25.0,-0.24135625069777747
8.6,25.0,-0.2081936348696776
8.8,25.0,-0.1799911437507889
9.0,25.0,-0.15591477757675817
9.5,25.0,-0.10982510614166473
10.0,25.0,-0.07861581195312681
10.5,25.0,-0.057414564839580184
11.0,25.0,-0.04275365990199248
11.5,25.0,-0.03237250865418702
12.0,25.0,-0.024888424321546837
12.5,25.0,-0.019357661628468605
13.0,25.0,-0.015209591947851493
13.5,25.0,-0.012071104869037157
14.0,25.0,-0.009678832373695344
14.5,25.0,-0.007813295915014038
15.0,25.0,-0.006364765576353478
16.0,25.0,-0.0042797568087043205
17.0,25.0,-0.0029629073602868063
18.0,25.0,-0.002085008767649157
19.0,25.0,-0.0015143770216262454
20.0,25.0,-0.0010973740205275817
21.0,25.0,-0.000812058147516126
22.0,25.0,-0.0006145305743073948
23.0,25.0,-0.00046089871046106623
24.0,25.0,-0.00037310729173626103
25.0,25.0,-0.0002853189919335364
50.0,25.0,0.0
100.0,25.0,0.0
2.5,30.0,1827.3578404841503
2.6,30.0,1341.609061388127
2.7,30.0,948.7095951473433
2.8,30.0,651.5146311191562
2.9,30.0,435.12269787937277
3.0,30.0,281.42083952679275
3.1,30.0,174.8746417496889
3.2,30.0,102.38403699678084
3.3,30.0,53.92169031421149
3.4,30.0,22.710707971670388
3.5,30.0,3.114783947807847
3.6,30.0,-8.866906736702735
3.7,30.0,-15.202173616634157
3.8,30.0,-18.250829860359012
3.9,30.0,-19.489544671646307
4.0,30.0,-19.264144227479854
4.1,30.0,-18.182024564788748
4.2,30.0,-16.774555708617502
4.3,30.0,-15.233931594714036
4.4,30.0,-13.686372083488193
4.5,30.0,-12.204720804036373
4.6,30.0,-10.827956450752767
4.7,30.0,-9.574097891081664
4.8,30.0,-8.44797356260419
4.9,30.0,-7.443877132265506
5.0,30.0,-6.559416321332424
5.1,30.0,-5.7828931322276445
5.2,30.0,-5.103926416822285
5.3,30.0,-4.51406640077234
5.4,30.0,-3.999288654450291
5.5,30.0,-3.5500240878747693
5.6,30.0,-3.1610272542257087
5.7,30.0,-2.821917002255304
5.8,30.0,-2.525165355040474
5.9,30.0,-2.2643197587050627
6.0,30.0,-2.0340030824198383
6.2,30.0,-1.6484300517226036
6.4,30.0,-1.3432725258731333
6.6,30.0,-1.101148112737202
6.8,30.0,-0.9084493888073095
7.0,30.0,-0.7540928808426179
7.2,30.0,-0.62943129316376
7.4,30.0,-0.5281218018112195
7.6,30.0,-0.44540181588683797
7.8,30.0,-0.3776280476541335
8.0,30.0,-0.3218595469642668
8.2,30.0,-0.2756162405464049
8.4,30.0,-0.236944809879908
8.6,30.0,-0.20433088106207195
8.8,30.0,-0.17663318124408464
9.0,30.0,-0.15301771378051499
9.5,30.0,-0.10784983352849949
10.0,30.0,-0.07732091347831258
10.5,30.0,-0.056536666246942535
11.0,30.0,-0.042139129327685085
11.5,30.0,-0.031933557798407154
12.0,30.0,-0.024559212739172977
12.5,30.0,-0.019116241464819553
13.0,30.0,-0.015034012229323964
13.5,30.0,-0.01193942085987203
14.0,30.0,-0.009569093100289337
14.5,30.0,-0.007725507615211314
15.0,30.0,-0.006276974157628672
16.0,30.0,-0.004235861099341918
17.0,30.0,-0.002940959505605605
18.0,30.0,-0.002063060912967956
19.0,30.0,-0.0014924291669450441
20.0,30.0,-0.0010973740205275817
21.0,30.0,-0.000812058147516126
22.0,30.0,-0.0006145305743073948
23.0,30.0,-0.00046089871046106623
24.0,30.0,-0.0003511594370550597
25.0,30.0,-0.0002853189919335364
50.0,30.0,0.0
100.0,30.0,0.0
2.5,35.0,1713.9552333214544
2.6,35.0,1239.9538557436942
2.7,35.0,869.8844038855232
2.8,35.0,594.3926495404518
2.9,35.0,395.1674073300137
3.0,35.0,254.5032198975484
3.1,35.0,157.18312103747493
3.2,35.0,91.04474855363145
3.3,35.0,47.10695915611781
3.4,35.0,18.812421541726025
3.5,35.0,1.1026624866399062
3.6,35.0,-9.61066236200691
3.7,35.0,-15.269903489157498
3.8,35.0,-17.94345564173273
3.9,35.0,-19.124997311463012
4.0,35.0,-18.676457008497362
4.1,35.0,-17.582288188791896
4.2,35.0,-16.200870974526772
4.3,35.0,-14.704141787136265
4.4,35.0,-13.207390651891078
4.5,35.0,-11.777689018149804
4.6,35.0,-10.451250197400633
4.7,35.0,-9.24457868006623
4.8,35.0,-8.161756698501012
4.9,35.0,-7.196463379719067
5.0,35.0,-6.34685514135424
5.1,35.0,-5.600860872299648
5.2,35.0,-4.950206384167659
5.3,35.0,-4.38073556332159
5.4,35.0,-3.882813469978183
5.5,35.0,-3.4511068721364926
5.6,35.0,-3.074949302675701
5.7,35.0,-2.7464616252356726
5.8,35.0,-2.458576752247022
5.9,35.0,-2.205259135953613
6.0,35.0,-1.9814828018443478
6.2,35.0,-1.6070151891237097
6.4,35.0,-1.3109000172189462
6.6,35.0,-1.0758865842428411
6.8,35.0,-0.8884991444592147
7.0,35.0,-0.73802733815681
