R	Gamma	E
5.10	85	-78.269852230101
5.10	90	-78.269852140318
5.20	0	-78.269864440646
5.20	5	-78.269864288658
5.20	10	-78.26986384345
5.20	15	-78.269863136195
5.20	20	-78.269862213076
5.20	25	-78.269861128975
5.20	30	-78.269859939286
5.20	35	-78.269858694996
5.20	40	-78.269857439414
5.20	45	-78.269856208976
5.20	50	-78.269855026714
5.20	55	-78.269853941299
5.20	60	-78.269852961495
5.20	65	-78.269852106726
5.20	70	-78.269851391624
5.20	75	-78.269850826589
5.20	80	-78.269850418512
5.20	85	-78.269850171874
5.20	90	-78.269850089367
5.30	0	-78.269861351432
5.30	5	-78.269861213475
5.30	10	-78.269860809379
5.30	15	-78.269860167572
5.30	20	-78.269859330347
5.30	25	-78.269858347273
5.30	30	-78.269857268285
5.30	35	-78.269856138811
5.30	40	-78.269854997472
5.30	45	-78.269853868995
5.30	50	-78.269852801795
5.30	55	-78.269851807502
5.30	60	-78.269850908379
5.30	65	-78.269850123032
5.30	70	-78.269849465578
5.30	75	-78.269848945983
5.30	80	-78.269848570765
5.30	85	-78.26984834407
5.30	90	-78.269848268225
5.40	0	-78.269858564862
5.40	5	-78.26985843992
5.40	10	-78.26985807434
5.40	15	-78.269857494008
5.40	20	-78.269856737056
5.40	25	-78.269855848044
5.40	30	-78.269854871713
5.40	35	-78.269853848451
5.40	40	-78.269852805509
5.40	45	-78.269851789756
5.40	50	-78.26985081516
5.40	55	-78.269849905042
5.40	60	-78.269849080459
5.40	65	-78.269848359207
5.40	70	-78.269847755048
5.40	75	-78.269847277497
5.40	80	-78.269846932813
5.40	85	-78.26984672456
5.40	90	-78.269846654986
5.50	0	-78.269856054785
5.50	5	-78.269855942158
5.50	10	-78.269855612435
5.50	15	-78.269855089023
5.50	20	-78.269854406519
5.50	25	-78.269853604702
5.50	30	-78.269852723319
5.50	35	-78.269851791858
5.50	40	-78.269850856028
5.50	45	-78.269849931952
5.50	50	-78.269849043003
5.50	55	-78.269848210704
5.50	60	-78.269847455058
5.50	65	-78.269846793208
5.50	70	-78.269846238493
5.50	75	-78.26984580011
5.50	80	-78.269845483914
5.50	85	-78.269845293077
5.50	90	-78.269845229256
5.60	0	-78.269853798744
5.60	5	-78.26985369747
5.60	10	-78.269853400959
5.60	15	-78.269852930338
5.60	20	-78.269852316385
5.60	25	-78.269851586947
5.60	30	-78.269850795434
5.60	35	-78.26984996234
5.60	40	-78.269849114343
5.60	45	-78.269848274426
5.60	50	-78.269847464104
5.60	55	-78.269846703563
5.60	60	-78.269846011591
5.60	65	-78.269845404815
5.60	70	-78.269844896218
5.60	75	-78.269844494611
5.60	80	-78.269844205097
5.60	85	-78.26984403061
5.60	90	-78.26984397228
5.70	0	-78.269851776903
5.70	5	-78.269851686089
5.70	10	-78.269851410857
5.70	15	-78.269850990102
5.70	20	-78.269850440881
5.70	25	-78.269849794377
5.70	30	-78.26984908129
