      R        PHI    THETA2    THETA1       E_CP
    2.7000   30.0000   90.0000   120.0000   -76.972405769847
    2.7000   30.0000   90.0000   150.0000   -76.974771934771
    2.7000   30.0000   90.0000   180.0000   -76.973779996788
    2.7000   60.0000   0.0000   0.0000   -76.972559909606
    2.7000   60.0000   0.0000   30.0000   -76.972631228589
    2.7000   60.0000   0.0000   60.0000   -76.972260269217
    2.7000   60.0000   0.0000   90.0000   -76.973081348761
    2.7000   60.0000   0.0000   120.0000   -76.972260279869
    2.7000   60.0000   0.0000   150.0000   -76.972631228589
    2.7000   60.0000   0.0000   180.0000   -76.972559909605
    2.7000   60.0000   30.0000   0.0000   -76.973000130500
    2.7000   60.0000   30.0000   30.0000   -76.973527637522
    2.7000   60.0000   30.0000   60.0000   -76.972691440286
    2.7000   60.0000   30.0000   90.0000   -76.972981624119
    2.7000   60.0000   30.0000   120.0000   -76.972011934270
    2.7000   60.0000   30.0000   150.0000   -76.972813587511
    2.7000   60.0000   30.0000   180.0000   -76.973000130500
    2.7000   60.0000   60.0000   0.0000   -76.973629955973
    2.7000   60.0000   60.0000   30.0000   -76.974589790200
    2.7000   60.0000   60.0000   60.0000   -76.972859937807
    2.7000   60.0000   60.0000   90.0000   -76.972795742090
    2.7000   60.0000   60.0000   120.0000   -76.972220906216
    2.7000   60.0000   60.0000   150.0000   -76.973911913261
    2.7000   60.0000   60.0000   180.0000   -76.973629955978
    2.7000   60.0000   90.0000   0.0000   -76.973779996789
    2.7000   60.0000   90.0000   30.0000   -76.974791264498
    2.7000   60.0000   90.0000   60.0000   -76.972628738584
    2.7000   60.0000   90.0000   90.0000   -76.972712615361
    2.7000   60.0000   90.0000   120.0000   -76.972628745424
    2.7000   60.0000   90.0000   150.0000   -76.974791264498
    2.7000   60.0000   90.0000   180.0000   -76.973779996789
    2.7000   90.0000   0.0000   0.0000   -76.972559909606
    2.7000   90.0000   0.0000   30.0000   -76.972631228149
    2.7000   90.0000   0.0000   60.0000   -76.972260271953
    2.7000   90.0000   0.0000   90.0000   -76.973081352755
    2.7000   90.0000   0.0000   120.0000   -76.972260271953
    2.7000   90.0000   0.0000   150.0000   -76.972631228149
    2.7000   90.0000   0.0000   180.0000   -76.972559909605
    2.7000   90.0000   30.0000   0.0000   -76.973000130500
    2.7000   90.0000   30.0000   30.0000   -76.973192721175
    2.7000   90.0000   30.0000   60.0000   -76.972380921788
    2.7000   90.0000   30.0000   90.0000   -76.973017939183
    2.7000   90.0000   30.0000   120.0000   -76.972380921788
    2.7000   90.0000   30.0000   150.0000   -76.973192721175
    2.7000   90.0000   30.0000   180.0000   -76.973000130500
    2.7000   90.0000   60.0000   0.0000   -76.973629955976
    2.7000   90.0000   60.0000   30.0000   -76.974267829900
    2.7000   90.0000   60.0000   60.0000   -76.972624508560
    2.7000   90.0000   60.0000   90.0000   -76.972893850956
    2.7000   90.0000   60.0000   120.0000   -76.972624508559
    2.7000   90.0000   60.0000   150.0000   -76.974267829899
    2.7000   90.0000   60.0000   180.0000   -76.973629955980
    2.7000   90.0000   90.0000   0.0000   -76.973779996789
    2.7000   90.0000   90.0000   30.0000   -76.974797931117
    2.7000   90.0000   90.0000   60.0000   -76.972739656479
    2.7000   90.0000   90.0000   90.0000   -76.972831604734
    2.7000   90.0000   90.0000   120.0000   -76.972739656479
    2.7000   90.0000   90.0000   150.0000   -76.974797931117
    2.7000   90.0000   90.0000   180.0000   -76.973779996788
    2.8000   0.0000   0.0000   0.0000   -76.972651658197
    2.8000   0.0000   0.0000   30.0000   -76.972757876018
    2.8000   0.0000   0.0000   60.0000   -76.973326864328
    2.8000   0.0000   0.0000   90.0000   -76.974108547590
    2.8000   0.0000   0.0000   120.0000   -76.973326864328
    2.8000   0.0000   0.0000   150.0000   -76.972757876018
    2.8000   0.0000   0.0000   180.0000   -76.972651658197
    2.8000   0.0000   30.0000   0.0000   -76.973104853754
    2.8000   0.0000   30.0000   30.0000   -76.973755327027
    2.8000   0.0000   30.0000   60.0000   -76.973856339048
    2.8000   0.0000   30.0000   90.0000   -76.973897184972
    2.8000   0.0000   30.0000   120.0000   -76.972741927382
    2.8000   0.0000   30.0000   150.0000   -76.972552095526
    2.8000   0.0000   30.0000   180.0000   -76.973104853753
    2.8000   0.0000   60.0000   0.0000   -76.973925076619
    2.8000   0.0000   60.0000   30.0000   -76.974591439590
    2.8000   0.0000   60.0000   60.0000   -76.973805877971
    2.8000   0.0000   60.0000   90.0000   -76.973532721965
    2.8000   0.0000   60.0000   120.0000   -76.972746004056
    2.8000   0.0000   60.0000   150.0000   -76.973429827277
    2.8000   0.0000   60.0000   180.0000   -76.973925076619
    2.8000   0.0000   90.0000   0.0000   -76.974283803209
    2.8000   0.0000   90.0000   30.0000   -76.974451832884
    2.8000   0.0000   90.0000   60.0000   -76.973281526907
    2.8000   0.0000   90.0000   90.0000   -76.973369669809
    2.8000   0.0000   90.0000   120.0000   -76.973281526907
    2.8000   0.0000   90.0000   150.0000   -76.974451832883
    2.8000   0.0000   90.0000   180.0000   -76.974283803210
    2.8000   30.0000   0.0000   0.0000   -76.972651658197
    2.8000   30.0000   0.0000   30.0000   -76.972757873563
    2.8000   30.0000   0.0000   60.0000   -76.973326873680
    2.8000   30.0000   0.0000   90.0000   -76.974108543303
    2.8000   30.0000   0.0000   120.0000   -76.973326873680
    2.8000   30.0000   0.0000   150.0000   -76.972757873563
    2.8000   30.0000   0.0000   180.0000   -76.972651658197
    2.8000   30.0000   30.0000   0.0000   -76.973104853753
    2.8000   30.0000   30.0000   30.0000   -76.973688112380
    2.8000   30.0000   30.0000   60.0000   -76.973809285648
    2.8000   30.0000   30.0000   90.0000   -76.973930507626
    2.8000   30.0000   30.0000   120.0000   -76.972845971381
    2.8000   30.0000   30.0000   150.0000   -76.972648848908
    2.8000   30.0000   30.0000   180.0000   -76.973104853754
    2.8000   30.0000   60.0000   0.0000   -76.973925076619
    2.8000   30.0000   60.0000   30.0000   -76.974534461434
    2.8000   30.0000   60.0000   60.0000   -76.973806961593
    2.8000   30.0000   60.0000   90.0000   -76.973605583073
    2.8000   30.0000   60.0000   120.0000   -76.972893523081
    2.8000   30.0000   60.0000   150.0000   -76.973536099804
    2.8000   30.0000   60.0000   180.0000   -76.973925076619
    2.8000   30.0000   90.0000   0.0000   -76.974283803209
    2.8000   30.0000   90.0000   30.0000   -76.974475527432
    2.8000   30.0000   90.0000   60.0000   -76.973373316754
    2.8000   30.0000   90.0000   90.0000   -76.973466737249
    2.8000   30.0000   90.0000   120.0000   -76.973373316754
    2.8000   30.0000   90.0000   150.0000   -76.974475527432
    2.8000   30.0000   90.0000   180.0000   -76.974283803209
    2.8000   60.0000   0.0000   0.0000   -76.972651658197
    2.8000   60.0000   0.0000   30.0000   -76.972757873563
    2.8000   60.0000   0.0000   60.0000   -76.973326861097
    2.8000   60.0000   0.0000   90.0000   -76.974108543303
    2.8000   60.0000   0.0000   120.0000   -76.973326873680
    2.8000   60.0000   0.0000   150.0000   -76.972757873563
    2.8000   60.0000   0.0000   180.0000   -76.972651658197
    2.8000   60.0000   30.0000   0.0000   -76.973104853754
    2.8000   60.0000   30.0000   30.0000   -76.973497216884
    2.8000   60.0000   30.0000   60.0000   -76.973661230372
    2.8000   60.0000   30.0000   90.0000   -76.973984880343
    2.8000   60.0000   30.0000   120.0000   -76.973106680312
    2.8000   60.0000   30.0000   150.0000   -76.972900622981
    2.8000   60.0000   30.0000   180.0000   -76.973104853754
    2.8000   60.0000   60.0000   0.0000   -76.973925076619
    2.8000   60.0000   60.0000   30.0000   -76.974366611831
    2.8000   60.0000   60.0000   60.0000   -76.973758583325
    2.8000   60.0000   60.0000   90.0000   -76.973767949231
    2.8000   60.0000   60.0000   120.0000   -76.973235601107
    2.8000   60.0000   60.0000   150.0000   -76.973803026362
    2.8000   60.0000   60.0000   180.0000   -76.973925076619
    2.8000   60.0000   90.0000   0.0000   -76.974283803209
    2.8000   60.0000   90.0000   30.0000   -76.974520466194
    2.8000   60.0000   90.0000   60.0000   -76.973550998060
    2.8000   60.0000   90.0000   90.0000   -76.973659004634
    2.8000   60.0000   90.0000   120.0000   -76.973551007420
    2.8000   60.0000   90.0000   150.0000   -76.974520466196
    2.8000   60.0000   90.0000   180.0000   -76.974283803209
    2.8000   90.0000   0.0000   0.0000   -76.972651658197
    2.8000   90.0000   0.0000   30.0000   -76.972757876018
    2.8000   90.0000   0.0000   60.0000   -76.973326864329
    2.8000   90.0000   0.0000   90.0000   -76.974108547590
    2.8000   90.0000   0.0000   120.0000   -76.973326864329
    2.8000   90.0000   0.0000   150.0000   -76.972757876018
    2.8000   90.0000   0.0000   180.0000   -76.972651658197
    2.8000   90.0000   30.0000   0.0000   -76.973104853754
    2.8000   90.0000   30.0000   30.0000   -76.973211583676
    2.8000   90.0000   30.0000   60.0000   -76.973412065257
    2.8000   90.0000   30.0000   90.0000   -76.974016867731
    2.8000   90.0000   30.0000   120.0000   -76.973412065257
    2.8000   90.0000   30.0000   150.0000   -76.973211583675
    2.8000   90.0000   30.0000   180.0000   -76.973104853754
    2.8000   90.0000   60.0000   0.0000   -76.973925076619
    2.8000   90.0000   60.0000   30.0000   -76.974109037993
    2.8000   90.0000   60.0000   60.0000   -76.973570451102
    2.8000   90.0000   60.0000   90.0000   -76.973838952001
    2.8000   90.0000   60.0000   120.0000   -76.973570451103
    2.8000   90.0000   60.0000   150.0000   -76.974109037992
    2.8000   90.0000   60.0000   180.0000   -76.973925076619
    2.8000   90.0000   90.0000   0.0000   -76.974283803209
    2.8000   90.0000   90.0000   30.0000   -76.974546372609
    2.8000   90.0000   90.0000   60.0000   -76.973640333960
    2.8000   90.0000   90.0000   90.0000   -76.973754507782
    2.8000   90.0000   90.0000   120.0000   -76.973640333960
    2.8000   90.0000   90.0000   150.0000   -76.974546372609
    2.8000   90.0000   90.0000   180.0000   -76.974283803209
    2.9000   0.0000   0.0000   0.0000   -76.972996744144
    2.9000   0.0000   0.0000   30.0000   -76.973250724071
    2.9000   0.0000   0.0000   60.0000   -76.974156031807
    2.9000   0.0000   0.0000   90.0000   -76.974830749452
    2.9000   0.0000   0.0000   120.0000   -76.974156031806
    2.9000   0.0000   0.0000   150.0000   -76.973250724071
    2.9000   0.0000   0.0000   180.0000   -76.972996744144
    2.9000   0.0000   30.0000   0.0000   -76.973469329222
    2.9000   0.0000   30.0000   30.0000   -76.974111323269
    2.9000   0.0000   30.0000   60.0000   -76.974593233871
    2.9000   0.0000   30.0000   90.0000   -76.974629025183
    2.9000   0.0000   30.0000   120.0000   -76.973647289760
    2.9000   0.0000   30.0000   150.0000   -76.973060229647
    2.9000   0.0000   30.0000   180.0000   -76.973469329222
    2.9000   0.0000   60.0000   0.0000   -76.974344192296
    2.9000   0.0000   60.0000   30.0000   -76.974788193205
    2.9000   0.0000   60.0000   60.0000   -76.974510788783
    2.9000   0.0000   60.0000   90.0000   -76.974269414566
    2.9000   0.0000   60.0000   120.0000   -76.973609381462
    2.9000   0.0000   60.0000   150.0000   -76.973801361313
    2.9000   0.0000   60.0000   180.0000   -76.974344192296
    2.9000   0.0000   90.0000   0.0000   -76.974754194408
    2.9000   0.0000   90.0000   30.0000   -76.974661258786
    2.9000   0.0000   90.0000   60.0000   -76.974036473545
    2.9000   0.0000   90.0000   90.0000   -76.974107144364
    2.9000   0.0000   90.0000   120.0000   -76.974036473545
    2.9000   0.0000   90.0000   150.0000   -76.974661258786
    2.9000   0.0000   90.0000   180.0000   -76.974754194408
    2.9000   30.0000   0.0000   0.0000   -76.972996744144
    2.9000   30.0000   0.0000   30.0000   -76.973250720500
    2.9000   30.0000   0.0000   60.0000   -76.974156042029
    2.9000   30.0000   0.0000   90.0000   -76.974830403643
    2.9000   30.0000   0.0000   120.0000   -76.974156042029
    2.9000   30.0000   0.0000   150.0000   -76.973250720499
    2.9000   30.0000   0.0000   180.0000   -76.972996744144
    2.9000   30.0000   30.0000   0.0000   -76.973469329222
    2.9000   30.0000   30.0000   30.0000   -76.974056588790
    2.9000   30.0000   30.0000   60.0000   -76.974553481371
    2.9000   30.0000   30.0000   90.0000   -76.974653566663
    2.9000   30.0000   30.0000   120.0000   -76.973733317155
    2.9000   30.0000   30.0000   150.0000   -76.973145734624
    2.9000   30.0000   30.0000   180.0000   -76.973469329222
    2.9000   30.0000   60.0000   0.0000   -76.974344192296
    2.9000   30.0000   60.0000   30.0000   -76.974745181106
    2.9000   30.0000   60.0000   60.0000   -76.974510201040
    2.9000   30.0000   60.0000   90.0000   -76.974330530236
    2.9000   30.0000   60.0000   120.0000   -76.973730463361
    2.9000   30.0000   60.0000   150.0000   -76.973896873439
    2.9000   30.0000   60.0000   180.0000   -76.974344192296
    2.9000   30.0000   90.0000   0.0000   -76.974754194408
    2.9000   30.0000   90.0000   30.0000   -76.974685564274
    2.9000   30.0000   90.0000   60.0000   -76.974110736928
    2.9000   30.0000   90.0000   90.0000   -76.974185797824
    2.9000   30.0000   90.0000   120.0000   -76.974110736928
    2.9000   30.0000   90.0000   150.0000   -76.974685564274
    2.9000   30.0000   90.0000   180.0000   -76.974754194408
    2.9000   60.0000   0.0000   0.0000   -76.972996744143
    2.9000   60.0000   0.0000   30.0000   -76.973250720499
    2.9000   60.0000   0.0000   60.0000   -76.974156028264
    2.9000   60.0000   0.0000   90.0000   -76.974830403642
    2.9000   60.0000   0.0000   120.0000   -76.974156042029
    2.9000   60.0000   0.0000   150.0000   -76.973250720500
    2.9000   60.0000   0.0000   180.0000   -76.972996744143
    2.9000   60.0000   30.0000   0.0000   -76.973469329222
    2.9000   60.0000   30.0000   30.0000   -76.973891880457
    2.9000   60.0000   30.0000   60.0000   -76.974428629256
    2.9000   60.0000   30.0000   90.0000   -76.974699187156
    2.9000   60.0000   30.0000   120.0000   -76.973947660159
    2.9000   60.0000   30.0000   150.0000   -76.973366890581
    2.9000   60.0000   30.0000   180.0000   -76.973469329222
    2.9000   60.0000   60.0000   0.0000   -76.974344192296
