R	Gamma	E
3.90	20	776.111563
3.90	30	418.029154
3.90	40	167.741991
3.90	50	28.229356
3.90	60	-38.842348
3.90	70	-67.984501
3.90	80	-79.325711
3.90	90	-82.004781
3.90	100	-78.827198
3.90	110	-68.78668
3.90	120	-48.37893
3.90	130	-11.75395
3.90	140	60.406611
3.90	150	239.018136
3.90	160	668.636399
3.90	170	1354.21248
3.90	180	1750.152792
4.00	0	913.765088
4.00	10	801.693824
4.00	20	543.945037
4.00	30	283.669608
4.00	40	101.269237
4.00	50	-0.262728
4.00	60	-48.606925
4.00	70	-69.084184
4.00	80	-76.660672
4.00	90	-78.113859
4.00	100	-75.465507
4.00	110	-67.976142
4.00	120	-53.133924
4.00	130	-27.364665
4.00	140	21.06191
4.00	150	139.513312
4.00	160	428.645236
4.00	170	890.795009
4.00	180	1156.026159
4.10	0	640.096448
4.10	10	559.410634
4.10	20	373.369443
4.10	30	184.920923
4.10	40	52.738243
4.10	50	-20.497617
4.10	60	-54.786966
4.10	70	-68.734024
4.10	80	-73.473813
4.10	90	-74.002356
4.10	100	-71.735301
4.10	110	-66.131797
4.10	120	-55.41369
4.10	130	-37.460921
4.10	140	-5.596425
4.10	150	71.010169
4.10	160	262.075528
4.10	170	570.236777
4.10	180	746.528355
4.20	0	440.463836
4.20	10	382.505811
4.20	20	248.630651
4.20	30	112.783206
4.20	40	17.643085
4.20	50	-34.56257
4.20	60	-58.340183
4.20	70	-67.399343
4.20	80	-70.020824
4.20	90	-69.858969
4.20	100	-67.869405
4.20	110	-63.65182
4.20	120	-55.976379
4.20	130	-43.638845
4.20	140	-23.218315
4.20	150	24.719231
4.20	160	147.988601
4.20	170	350.582095
4.20	180	466.599504
4.30	0	295.3388
4.30	10	253.836399
4.30	20	157.860138
4.30	30	60.453672
4.30	40	-7.421741
4.30	50	-44.036409
4.30	60	-59.9907
4.30	70	-65.422562
4.30	80	-66.47659
4.30	90	-65.804122
4.30	100	-64.02132
4.30	110	-60.818732
4.30	120	-55.373193
4.30	130	-47.056684
4.30	140	-34.461942
4.30	150	-5.829678
4.30	160	71.138673
4.30	170	201.799915
4.30	180	277.14091
4.40	0	190.241995
4.40	10	160.648573
4.40	20	92.177215
4.40	30	22.821989
4.40	40	-25.020057
4.40	50	-50.114221
4.40	60	-60.284431
4.40	70	-63.051227
4.40	80	-62.957306
4.40	90	-61.910661
