R	Gamma	E
4.20	60	-117.391349036275
4.20	70	-117.391411144747
4.20	80	-117.391440273369
4.20	90	-117.391447354808
4.20	100	-117.391432081597
4.20	110	-117.39138891923
4.20	120	-117.391310353189
4.20	130	-117.391195082022
4.20	140	-117.39104667851
4.20	150	-117.390831605735
4.20	160	-117.39041874805
4.20	170	-117.389760670295
4.20	180	-117.38937593365
4.30	0	-117.389934941752
4.30	10	-117.390092297296
4.30	20	-117.390456961063
4.30	30	-117.390835119524
4.30	40	-117.391112543914
4.30	50	-117.391278359233
4.30	60	-117.391366617892
4.30	70	-117.391410843682
4.30	80	-117.391431539675
4.30	90	-117.391436166918
4.30	100	-117.391423520682
4.30	110	-117.391388994221
4.30	120	-117.391327222569
4.30	130	-117.391238662976
4.30	140	-117.391131869041
4.30	150	-117.390993736551
4.30	160	-117.390745138945
4.30	170	-117.39034608238
4.30	180	-117.390110089889
4.40	0	-117.390365051387
4.40	10	-117.390476623773
4.40	20	-117.390734780563
4.40	30	-117.391002370272
4.40	40	-117.391198607284
4.40	50	-117.391315593277
4.40	60	-117.391377371303
4.40	70	-117.391408000008
4.40	80	-117.391422201535
4.40	90	-117.39142489185
4.40	100	-117.391414337931
4.40	110	-117.391386620557
4.40	120	-117.391337963936
4.40	130	-117.391269861736
4.40	140	-117.391193292864
4.40	150	-117.391107426926
4.40	160	-117.390966464354
4.40	170	-117.390735860399
4.40	180	-117.390596262982
4.50	0	-117.390677028369
4.50	10	-117.390755560599
4.50	20	-117.390936735651
4.50	30	-117.391123900518
4.50	40	-117.391260470966
4.50	50	-117.391341172684
4.50	60	-117.39138309994
4.50	70	-117.391403443248
4.50	80	-117.391412643147
4.50	90	-117.391413795096
4.50	100	-117.391404920185
4.50	110	-117.391382618662
4.50	120	-117.391344226813
4.50	130	-117.391291800404
4.50	140	-117.39123711238
4.50	150	-117.39118637818
4.50	160	-117.391114447572
4.50	170	-117.390991343046
4.50	180	-117.390913495491
4.60	0	-117.390902015782
4.60	10	-117.390956753597
4.60	20	-117.391082402236
4.60	30	-117.391211205792
4.60	40	-117.391304099424
4.60	50	-117.391358012886
4.60	60	-117.391385174506
4.60	70	-117.391397775706
4.60	80	-117.391403127585
4.60	90	-117.391403055383
4.60	100	-117.391395532648
4.60	110	-117.391377575533
4.60	120	-117.391347252566
4.60	130	-117.391306841027
4.60	140	-117.391267924889
4.60	150	-117.391240485419
4.60	160	-117.39121162669
4.60	170	-117.391155379727
4.60	180	-117.391116409799
4.70	0	-117.391063030901
4.70	10	-117.391100672797
4.70	20	-117.391186365334
4.70	30	-117.391272950964
4.70	40	-117.391334053576
4.70	50	-117.39136835788
4.70	60	-117.391384628533
4.70	70	-117.391391432433
4.70	80	-117.391393836834
4.70	90	-117.391392797534
4.70	100	-117.391386364878
4.70	110	-117.39137191158
4.70	120	-117.391347964016
4.70	130	-117.391316772756
4.70	140	-117.391289170474
4.70	150	-117.391276874616
4.70	160	-117.391273938437
4.70	170	-117.391257806019
4.70	180	-117.391242604292
4.80	0	-117.391177078724
4.80	10	-117.391202473394
4.80	20	-117.391259497321
4.80	30	-117.391315687271
4.80	40	-117.391353828589
4.80	50	-117.391373923523
4.80	60	-117.391382233882
4.80	70	-117.391384729031
4.80	80	-117.39138489646
4.80	90	-117.391383107555
4.80	100	-117.391377550493
4.80	110	-117.391365927912
4.80	120	-117.391347042109
4.80	130	-117.391322944965
4.80	140	-117.391303428096
4.80	150	-117.391300683797
4.80	160	-117.391312575049
4.80	170	-117.391319292502
4.80	180	-117.391317945885
4.90	0	-117.391256722701
4.90	10	-117.391273369522
4.90	20	-117.391309911251
4.90	30	-117.391344365945
4.90	40	-117.391366095509
4.90	50	-117.391376015278
4.90	60	-117.391378565114
4.90	70	-117.391377893175
4.90	80	-117.391376393703
4.90	90	-117.391374040203
4.90	100	-117.391369184658
4.90	110	-117.391359840156
4.90	120	-117.391344987237
4.90	130	-117.391326371765
4.90	140	-117.391312620455
4.90	150	-117.391315617063
4.90	160	-117.391335311701
4.90	170	-117.391354028748
4.90	180	-117.391360180944
5.00	0	-117.391311249485
5.00	10	-117.391321671144
5.00	20	-117.391343669033
5.00	30	-117.391362732954
5.00	40	-117.391372888014
5.00	50	-117.391375618748
5.00	60	-117.391374049773
5.00	70	-117.391371091677
5.00	80	-117.391368382059
5.00	90	-117.391365623859
5.00	100	-117.391361326775
5.00	110	-117.391353803741
5.00	120	-117.391342163288
5.00	130	-117.391327807345
5.00	140	-117.391318171436
