R,phi,th2,th1,E_cm
6.4,60.0,0.0,0.0,0.9883135711556521
6.6,60.0,0.0,0.0,1.0433911713451458
6.8,60.0,0.0,0.0,1.0509751142060406
7.0,60.0,0.0,0.0,1.0283380619559224
7.2,60.0,0.0,0.0,0.9872399040618592
7.4,60.0,0.0,0.0,0.9356161763519704
7.6,60.0,0.0,0.0,0.8787522759192531
7.8,60.0,0.0,0.0,0.8201152402134144
8.0,60.0,0.0,0.0,0.7619353667493843
8.2,60.0,0.0,0.0,0.7056120316538329
8.4,60.0,0.0,0.0,0.6519812120877125
8.6,60.0,0.0,0.0,0.6015070941053573
8.8,60.0,0.0,0.0,0.5543992786273497
9.0,60.0,0.0,0.0,0.5107021011310658
9.5,60.0,0.0,0.0,0.4157828351158227
10.0,60.0,0.0,0.0,0.3391556821894311
10.5,60.0,0.0,0.0,0.27767886169135947
11.0,60.0,0.0,0.0,0.22840614937553028
11.5,60.0,0.0,0.0,0.18478446850712943
12.0,60.0,0.0,0.0,0.1530866263638859
12.5,60.0,0.0,0.0,0.1275162965132465
13.0,60.0,0.0,0.0,0.1068062297246415
13.5,60.0,0.0,0.0,0.089961773676268
14.0,60.0,0.0,0.0,0.07619917755741341
14.5,60.0,0.0,0.0,0.06489755131164798
15.0,60.0,0.0,0.0,0.05556746432931732
16.0,60.0,0.0,0.0,0.04134901903485016
17.0,60.0,0.0,0.0,0.03131178820595068
18.0,60.0,0.0,0.0,0.024064295945578778
19.0,60.0,0.0,0.0,0.018731940361736008
20.0,60.0,0.0,0.0,0.014748474912844785
21.0,60.0,0.0,0.0,0.011733331845552045
22.0,60.0,0.0,0.0,0.009424241002099905
23.0,60.0,0.0,0.0,0.007637279547395224
24.0,60.0,0.0,0.0,0.006239883936246145
25.0,60.0,0.0,0.0,0.00513768182433779
50.0,60.0,0.0,0.0,0.00019050376068321384
100.0,60.0,0.0,0.0,0.0
2.7,90.0,0.0,0.0,670.0426701658494
2.8,90.0,0.0,0.0,649.9061821054114
2.9,90.0,0.0,0.0,574.1685715686068
3.0,90.0,0.0,0.0,469.843050801021
3.1,90.0,0.0,0.0,363.0704702128629
3.2,90.0,0.0,0.0,265.22723930856614
3.3,90.0,0.0,0.0,185.41319500499495
3.4,90.0,0.0,0.0,122.29805964972489
3.5,90.0,0.0,0.0,75.03687369225496
3.6,90.0,0.0,0.0,42.0837930409793
3.7,90.0,0.0,0.0,18.7437922656423
3.8,90.0,0.0,0.0,3.426339377780777
3.9,90.0,0.0,0.0,-6.089600806016084
4.0,90.0,0.0,0.0,-11.471578312285438
4.1,90.0,0.0,0.0,-13.873165187717984
4.2,90.0,0.0,0.0,-14.992906969644324
4.3,90.0,0.0,0.0,-14.503829047698778
4.4,90.0,0.0,0.0,-14.093189820359246
4.5,90.0,0.0,0.0,-11.121313703332069
4.6,90.0,0.0,0.0,-9.465434025127971
4.7,90.0,0.0,0.0,-7.825583236037391
4.8,90.0,0.0,0.0,-6.271336334816255
4.9,90.0,0.0,0.0,-4.50927790410738
5.0,90.0,0.0,0.0,-3.6242043185531228
5.1,90.0,0.0,0.0,-2.54328847245531
5.2,90.0,0.0,0.0,-2.758727185539669
5.3,90.0,0.0,0.0,-2.000896211086085
5.4,90.0,0.0,0.0,-1.36206547858861
5.5,90.0,0.0,0.0,-0.8346552151851709
5.6,90.0,0.0,0.0,-0.40330460487191616
5.7,90.0,0.0,0.0,-0.05379301287107793
5.8,90.0,0.0,0.0,0.2266995157590115
5.9,90.0,0.0,0.0,0.44939888607384476
6.0,90.0,0.0,0.0,0.6239918306767472
6.2,90.0,0.0,0.0,1.3809080346408567
6.4,90.0,0.0,0.0,0.9883135711556521
6.6,90.0,0.0,0.0,1.0433911713451458
6.8,90.0,0.0,0.0,1.0509753356495084
7.0,90.0,0.0,0.0,1.0283380619559224
7.2,90.0,0.0,0.0,0.9872399040618592
7.4,90.0,0.0,0.0,0.9356161763519704
7.6,90.0,0.0,0.0,0.8787522759192531
7.8,90.0,0.0,0.0,0.8201152402134144
8.0,90.0,0.0,0.0,0.7619353667493843
8.2,90.0,0.0,0.0,0.7056120316538329
8.4,90.0,0.0,0.0,0.6519812120877125
8.6,90.0,0.0,0.0,0.6015070941053573
8.8,90.0,0.0,0.0,0.5543992786273497
9.0,90.0,0.0,0.0,0.5107021011310658
9.5,90.0,0.0,0.0,0.4157828351158227
10.0,90.0,0.0,0.0,0.3391556821894311
10.5,90.0,0.0,0.0,0.27767886169135947
11.0,90.0,0.0,0.0,0.22840614937553028
11.5,90.0,0.0,0.0,0.18478446850712943
12.0,90.0,0.0,0.0,0.1530866263638859
12.5,90.0,0.0,0.0,0.1275162965132465
13.0,90.0,0.0,0.0,0.10680645116810922
13.5,90.0,0.0,0.0,0.089961773676268
14.0,90.0,0.0,0.0,0.07619895923286776
14.5,90.0,0.0,0.0,0.06489755131164798
15.0,90.0,0.0,0.0,0.05556746432931732
16.0,90.0,0.0,0.0,0.04134901903485016
17.0,90.0,0.0,0.0,0.03131200653049632
18.0,90.0,0.0,0.0,0.024064295945578778
19.0,90.0,0.0,0.0,0.018731940361736008
20.0,90.0,0.0,0.0,0.014748474912844785
21.0,90.0,0.0,0.0,0.011733113521006403
22.0,90.0,0.0,0.0,0.009424241002099905
23.0,90.0,0.0,0.0,0.007637279547395224
24.0,90.0,0.0,0.0,0.006239883936246145
25.0,90.0,0.0,0.0,0.00513768182433779
50.0,90.0,0.0,0.0,0.00019072208522885603
100.0,90.0,0.0,0.0,0.0
2.7,0.0,30.0,0.0,573.4235021691114
2.8,0.0,30.0,0.0,550.4394047456223
2.9,0.0,30.0,0.0,470.4462862613919
3.0,0.0,30.0,0.0,371.3256987449011
3.1,0.0,30.0,0.0,272.63381519006225
3.2,0.0,30.0,0.0,186.49353429027585
3.3,0.0,30.0,0.0,118.15632427841001
3.4,0.0,30.0,0.0,64.57813612317781
3.5,0.0,30.0,0.0,26.70309086167699
3.6,0.0,30.0,0.0,0.7110282301010464
3.7,0.0,30.0,0.0,-16.066367481633236
3.8,0.0,30.0,0.0,-26.00453032610106
3.9,0.0,30.0,0.0,-31.223483833705885
4.0,0.0,30.0,0.0,-33.042898885919925
4.1,0.0,30.0,0.0,-34.09917343860617
4.2,0.0,30.0,0.0,-32.214782918169064
4.3,0.0,30.0,0.0,-30.31504585703447
4.4,0.0,30.0,0.0,-26.876708678410317
4.5,0.0,30.0,0.0,-23.810120479123867
4.6,0.0,30.0,0.0,-19.001544586793376
4.7,0.0,30.0,0.0,-18.09123866273651
4.8,0.0,30.0,0.0,-15.590594987326892
4.9,0.0,30.0,0.0,-13.364660463879288
5.0,0.0,30.0,0.0,-11.409874774222404
5.1,0.0,30.0,0.0,-9.665538919598008
5.2,0.0,30.0,0.0,-8.2094439254907
5.3,0.0,30.0,0.0,-6.957412489633934
5.4,0.0,30.0,0.0,-5.8854167513298785
5.5,0.0,30.0,0.0,-4.970567044353419
5.6,0.0,30.0,0.0,-4.1916730908399655
5.7,0.0,30.0,0.0,-3.529573880317154
