R	Gamma	E
5.90	30	-230.433567783716
5.90	40	-230.433570985576
5.90	50	-230.43355010558
5.90	60	-230.433535795655
5.90	70	-230.433527496273
5.90	80	-230.433523318676
5.90	90	-230.433521648731
5.90	100	-230.433522036948
5.90	110	-230.433524855063
5.90	120	-230.433532043992
5.90	130	-230.433546864507
5.90	140	-230.433572634539
5.90	150	-230.433593300933
5.90	160	-230.43336680312
5.90	170	-230.431727487924
5.90	180	-230.429728175825
6.00	0	-230.432993220681
6.00	10	-230.433234040403
6.00	20	-230.433509850986
6.00	30	-230.433576056457
6.00	40	-230.433566710762
6.00	50	-230.433546447119
6.00	60	-230.433533097156
6.00	70	-230.433525627635
6.00	80	-230.433521851601
6.00	90	-230.433520296925
6.00	100	-230.433520585373
6.00	110	-230.433523016435
6.00	120	-230.433529285241
6.00	130	-230.433542671748
6.00	140	-230.433567207019
6.00	150	-230.433595794351
6.00	160	-230.433472213503
6.00	170	-230.432416417698
6.00	180	-230.431120952111
6.20	0	-230.433409210379
6.20	10	-230.433493978257
6.20	20	-230.433577160704
6.20	30	-230.433580088984
6.20	40	-230.433558266336
6.20	50	-230.433539878824
6.20	60	-230.433528563291
6.20	70	-230.433522518761
6.20	80	-230.433519381073
6.20	90	-230.433518022486
6.20	100	-230.433518145584
6.20	110	-230.433519956433
6.20	120	-230.433524690894
6.20	130	-230.433535366771
6.20	140	-230.433556569467
6.20	150	-230.433590366709
6.20	160	-230.433577440915
6.20	170	-230.433177530408
6.20	180	-230.432656237993
6.40	0	-230.433567595219
6.40	10	-230.433587880463
6.40	20	-230.433594993672
6.40	30	-230.433578004522
6.40	40	-230.433550394477
6.40	50	-230.43353432627
6.40	60	-230.433524976335
6.40	70	-230.433520032922
6.40	80	-230.433517393201
6.40	90	-230.433516200285
6.40	100	-230.43351619639
6.40	110	-230.433517540796
6.40	120	-230.433521121071
6.40	130	-230.433529424966
6.40	140	-230.433547025526
6.40	150	-230.433578852008
6.40	160	-230.433607210929
6.40	170	-230.43348931984
6.40	180	-230.433299859605
6.60	0	-230.43361406041
6.60	10	-230.433611461925
6.60	20	-230.433593049414
6.60	30	-230.4335662063
6.60	40	-230.433543403542
6.60	50	-230.433529757252
6.60	60	-230.433522138663
6.60	70	-230.43351802988
6.60	80	-230.433515782722
6.60	90	-230.433514725004
6.60	100	-230.433514619934
6.60	110	-230.433515614845
6.60	120	-230.433518334666
6.60	130	-230.433524698624
6.60	140	-230.433538933233
6.60	150	-230.433566236966
6.60	160	-230.433605168256
6.60	170	-230.433597157412
6.60	180	-230.433543606472
6.80	0	-230.433615960227
6.80	10	-230.433606652997
6.80	20	-230.433585198881
6.80	30	-230.433556222371
6.80	40	-230.433537369645
6.80	50	-230.433526051982
6.80	60	-230.433519868722
6.80	70	-230.433516404837
6.80	80	-230.433514460585
6.80	90	-230.433513519274
6.80	100	-230.43351335069
6.80	110	-230.433514070207
6.80	120	-230.433516136305
6.80	130	-230.433520974117
6.80	140	-230.43353226836
6.80	150	-230.433554688464
6.80	160	-230.433591896367
6.80	170	-230.43361939952
6.80	180	-230.433616221188
7.00	0	-230.433602760948
7.00	10	-230.433594104458
7.00	20	-230.433570702155
7.00	30	-230.433547809997
7.00	40	-230.433532284138
7.00	50	-230.433523066996
7.00	60	-230.43351800695
7.00	70	-230.433515064537
7.00	80	-230.43351337553
7.00	90	-230.43351252516
7.00	100	-230.433512309775
7.00	110	-230.433512816469
7.00	120	-230.433514375625
7.00	130	-230.433518062393
7.00	140	-230.433526881952
7.00	150	-230.433544898545
7.00	160	-230.433576434412
7.00	170	-230.43361039963
7.00	180	-230.433622249511
7.20	0	-230.433586506247
7.20	10	-230.433578030232
7.20	20	-230.433558942142
7.20	30	-230.433540805099
7.20	40	-230.433528085644
7.20	50	-230.433520659892
7.20	60	-230.433516476191
7.20	70	-230.433513952019
7.20	80	-230.433512470764
7.20	90	-230.433511697252
7.20	100	-230.433511445654
7.20	110	-230.433511783665
7.20	120	-230.433512965041
7.20	130	-230.433515768767
7.20	140	-230.433522583199
7.20	150	-230.433536911613
7.20	160	-230.433562319862
7.20	170	-230.433592798421
7.20	180	-230.433606692089
7.40	0	-230.433571550315
7.40	10	-230.433564504016
7.40	20	-230.433549436044
7.40	30	-230.433534982909
7.40	40	-230.433524659452
7.40	50	-230.433518678248
7.40	60	-230.433515188748
7.40	70	-230.433513011931
7.40	80	-230.433511712024
7.40	90	-230.433511007585
7.40	100	-230.433510732046
