R	Gamma	E
5.80	0	-3.772512
5.80	5	-3.753392
5.80	10	-3.701289
5.80	15	-3.618497
5.80	20	-3.510352
5.80	25	-3.382849
5.80	30	-3.241902
5.80	35	-3.092807
5.80	40	-2.940112
5.80	45	-2.787924
5.80	50	-2.640188
5.80	55	-2.500844
5.80	60	-2.373703
5.80	65	-2.262112
5.80	70	-2.168678
5.80	75	-2.095088
5.80	80	-2.042237
5.80	85	-2.010467
5.80	90	-1.999882
5.90	0	-3.418649
5.90	5	-3.402727
5.90	10	-3.356075
5.90	15	-3.281935
5.90	20	-3.184927
5.90	25	-3.070355
5.90	30	-2.943377
5.90	35	-2.808603
5.90	40	-2.67011
5.90	45	-2.531645
5.90	50	-2.396878
5.90	55	-2.269535
5.90	60	-2.153271
5.90	65	-2.051249
5.90	70	-1.965978
5.90	75	-1.898922
5.90	80	-1.850879
5.90	85	-1.822047
5.90	90	-1.812464
6.00	0	-3.105001
6.00	5	-3.090751
6.00	10	-3.049016
6.00	15	-2.98256
6.00	20	-2.895488
6.00	25	-2.792408
6.00	30	-2.677812
6.00	35	-2.55579
6.00	40	-2.429978
6.00	45	-2.30383
6.00	50	-2.180781
6.00	55	-2.064383
6.00	60	-1.958099
6.00	65	-1.864936
6.00	70	-1.787171
6.00	75	-1.726196
6.00	80	-1.682583
6.00	85	-1.656476
6.00	90	-1.647788
6.20	0	-2.578082
6.20	5	-2.566629
6.20	10	-2.533028
6.20	15	-2.479386
6.20	20	-2.408806
6.20	25	-2.324782
6.20	30	-2.230806
6.20	35	-2.130094
6.20	40	-2.025715
6.20	45	-1.920605
6.20	50	-1.817874
6.20	55	-1.720645
6.20	60	-1.631992
6.20	65	-1.55449
6.20	70	-1.490044
6.20	75	-1.439739
6.20	80	-1.403941
6.20	85	-1.382576
6.20	90	-1.375469
6.40	0	-2.159347
6.40	5	-2.150054
6.40	10	-2.122705
6.40	15	-2.078937
6.40	20	-2.021086
6.40	25	-1.951904
6.40	30	-1.874151
6.40	35	-1.790482
6.40	40	-1.703471
6.40	45	-1.615753
6.40	50	-1.529978
6.40	55	-1.448921
6.40	60	-1.375163
6.40	65	-1.310876
6.40	70	-1.257586
6.40	75	-1.21611
6.40	80	-1.186702
6.40	85	-1.169218
6.40	90	-1.163411
6.60	0	-1.823147
6.60	5	-1.815506
6.60	10	-1.793023
6.60	15	-1.756967
6.60	20	-1.709205
6.60	25	-1.65187
6.60	30	-1.587244
6.60	35	-1.517578
6.60	40	-1.445051
6.60	45	-1.371927
6.60	50	-1.300497
6.60	55	-1.233087
6.60	60	-1.171818
6.60	65	-1.118514
6.60	70	-1.074389
6.60	75	-1.04008
6.60	80	-1.015797
6.60	85	-1.001347
6.60	90	-0.996566
6.80	0	-1.551064
6.80	5	-1.544756
6.80	10	-1.526171
6.80	15	-1.496326
6.80	20	-1.456718
6.80	25	-1.409132
6.80	30	-1.355407
6.80	35	-1.297447
6.80	40	-1.237103
6.80	45	-1.176246
6.80	50	-1.116839
6.80	55	-1.060762
6.80	60	-1.009822
6.80	65	-0.965464
6.80	70	-0.928727
6.80	75	-0.900152
6.80	80	-0.879885
6.80	85	-0.867838
6.80	90	-0.863847
7.00	0	-1.330311
7.00	5	-1.325085
7.00	10	-1.309686
7.00	15	-1.284944
7.00	20	-1.252057
7.00	25	-1.212547
7.00	30	-1.167867
7.00	35	-1.119639
7.00	40	-1.069372
7.00	45	-1.018681
7.00	50	-0.969133
7.00	55	-0.92234
7.00	60	-0.87975
7.00	65	-0.842596
7.00	70	-0.811768
7.00	75	-0.787763
7.00	80	-0.770711
7.00	85	-0.760541
7.00	90	-0.757185
7.20	0	-1.151205
7.20	5	-1.146863
7.20	10	-1.13406
7.20	15	-1.113485
7.20	20	-1.086122
7.20	25	-1.053164
7.20	30	-1.015893
7.20	35	-0.975557
7.20	40	-0.933525
7.20	45	-0.891024
7.20	50	-0.849466
7.20	55	-0.810144
7.20	60	-0.774299
7.20	65	-0.742975
7.20	70	-0.716917
7.20	75	-0.696613
7.20	80	-0.682129
7.20	85	-0.673483
7.20	90	-0.670632
7.40	0	-1.005445
7.40	5	-1.001804
7.40	10	-0.991115
7.40	15	-0.973898
7.40	20	-0.950966
7.40	25	-0.923301
7.40	30	-0.891958
7.40	35	-0.858009
7.40	40	-0.822538
7.40	45	-0.786678
7.40	50	-0.751551
7.40	55	-0.718284
7.40	60	-0.687917
7.40	65	-0.661358
7.40	70	-0.639252
7.40	75	-0.621972
7.40	80	-0.609646
7.40	85	-0.602286
7.40	90	-0.599864
7.60	0	-0.885796
7.60	5	-0.882734
7.60	10	-0.873713
7.60	15	-0.859183
7.60	20	-0.8398
7.60	25	-0.816385
7.60	30	-0.789813
7.60	35	-0.760986
7.60	40	-0.730854
7.60	45	-0.700371
7.60	50	-0.670508
7.60	55	-0.642217
7.60	60	-0.616416
7.60	65	-0.593831
7.60	70	-0.575028
7.60	75	-0.560329
7.60	80	-0.549827
7.60	85	-0.543565
7.60	90	-0.541494
7.80	0	-0.786326
7.80	5	-0.783729
7.80	10	-0.776076
7.80	15	-0.763704
7.80	20	-0.747199
7.80	25	-0.727232
7.80	30	-0.704561
7.80	35	-0.679954
7.80	40	-0.654235
7.80	45	-0.628199
7.80	50	-0.60274
7.80	55	-0.578646
7.80	60	-0.556674
7.80	65	-0.537473
7.80	70	-0.521484
7.80	75	-0.508987
7.80	80	-0.500065
7.80	85	-0.494731
7.80	90	-0.492968
8.00	0	-0.702611
8.00	5	-0.700399
8.00	10	-0.693852
8.00	15	-0.683274
8.00	20	-0.669157
8.00	25	-0.652073
8.00	30	-0.632649
8.00	35	-0.611594
8.00	40	-0.589589
8.00	45	-0.567343
8.00	50	-0.545608
8.00	55	-0.525095
8.00	60	-0.506396
8.00	65	-0.490085
8.00	70	-0.476501
8.00	75	-0.465891
8.00	80	-0.458314
8.00	85	-0.453802
8.00	90	-0.452281
8.20	0	-0.6315
8.20	5	-0.629592
8.20	10	-0.624
8.20	15	-0.614951
8.20	20	-0.602867
8.20	25	-0.588225
8.20	30	-0.571581
8.20	35	-0.553554
8.20	40	-0.534726
8.20	45	-0.515741
8.20	50	-0.497203
8.20	55	-0.479724
8.20	60	-0.463839
8.20	65	-0.449972
8.20	70	-0.438439
8.20	75	-0.429425
8.20	80	-0.423006
8.20	85	-0.419151
8.20	90	-0.417894
8.40	0	-0.570827
8.40	5	-0.569212
8.40	10	-0.56442
8.40	15	-0.556667
8.40	20	-0.546309
8.40	25	-0.533782
8.40	30	-0.519536
8.40	35	-0.504102
8.40	40	-0.488025
8.40	45	-0.471813
8.40	50	-0.456018
8.40	55	-0.441135
8.40	60	-0.427617
8.40	65	-0.41583
8.40	70	-0.406031
